
7 Mot inconnu : IRC => <note warning>Cette FAQ concerne logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger le document et peuvent être potentiellement **dangereuse pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc
7 Mot inconnu : irc => <note warning>Cette FAQ concerne logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger le document et peuvent être potentiellement **dangereuse pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc

10 Il manque un espace. => [[Tutoriel:console_commandes_de_base|Les commandes de base en console]] | console_commandes_de_base => suggestions : [' console_commandes_de_base']
10 Mot inconnu : console_commandes_de_base => [[Tutoriel:console_commandes_de_base|Les commandes de base en console]] | console_commandes_de_base

18 Mot inconnu : PCI => ==== Liste PCI ==== | pci

19 Une de ces ponctuations est superflue. => Carte graphique, carte son, carte réseau, ... | , . => suggestions : [',', '.']
19 Typographie : points de suspension. Utilisez le caractère dédié. => Carte graphique, carte son, carte réseau, ... | ... => suggestions : ['…']

23 Une de ces ponctuations est superflue. => Imprimante, souris, disque externe, ... | , . => suggestions : [',', '.']
23 Typographie : points de suspension. Utilisez le caractère dédié. => Imprimante, souris, disque externe, ... | ... => suggestions : ['…']

26 Mot inconnu : pcmcia => ==== Liste pcmcia ==== | pcmcia

29 Mot inconnu : HardWare => ==== Liste HardWare ==== | hardware
30 Une de ces ponctuations est superflue. => Liste tous les composants et leurs caractéristiques : barrettes de RAM, lecteur CD/DVD, ... | , . => suggestions : [',', '.']
30 Typographie : points de suspension. Utilisez le caractère dédié. => Liste tous les composants et leurs caractéristiques : barrettes de RAM, lecteur CD/DVD, ... | ... => suggestions : ['…']
