
5 Mot inconnu : ENT => ====== ENT - Triade (gestion scolaire) ====== <|> ent
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== ENT - Triade (gestion scolaire) ====== <|>  -  => suggestions : [' – ', ' — ', ' − ']

7 Accentuez les majuscules. => Triade est un logiciel Libre de gestion scolaire (Ecole,Collège,Lycée,Fac)  <|> ecole => suggestions : ['École']
7 Mot inconnu : Ecole => Triade est un logiciel Libre de gestion scolaire (Ecole,Collège,Lycée,Fac)  <|> ecole
7 Il manque un espace. => Triade est un logiciel Libre de gestion scolaire (Ecole,Collège,Lycée,Fac)  <|> collège => suggestions : [' Collège']
7 Il manque un espace. => Triade est un logiciel Libre de gestion scolaire (Ecole,Collège,Lycée,Fac)  <|> fac => suggestions : [' Fac']
7 Espace(s) en fin de ligne à supprimer. => Triade est un logiciel Libre de gestion scolaire (Ecole,Collège,Lycée,Fac)  <|>   => suggestions : ['']

11 Mot inconnu : Mysql => Écrit en PHP, utilisant Mysql comme base de données. Triade est compatible avec les navigateurs Mozilla Firefox, et Internet Explorer. C’est via une interface Web que la gestion, la consultation et l’administration s’effectuent. <|> mysql

15 Guillemets typographiques ouvrants. => Le logiciel est en constante amélioration, pour apporter à l’établissement scolaire des outils simples et utiles. Une interface d’administration est accessible, permettant d’avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : online => Le logiciel est en constante amélioration, pour apporter à l’établissement scolaire des outils simples et utiles. Une interface d’administration est accessible, permettant d’avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> online
15 Guillemets typographiques fermants. => Le logiciel est en constante amélioration, pour apporter à l’établissement scolaire des outils simples et utiles. Une interface d’administration est accessible, permettant d’avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> " => suggestions : ['\xa0»', '”']
15 Une de ces ponctuations est superflue. => Le logiciel est en constante amélioration, pour apporter à l’établissement scolaire des outils simples et utiles. Une interface d’administration est accessible, permettant d’avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> , . => suggestions : [',', '.']
15 Typographie : points de suspension. Utilisez le caractère dédié. => Le logiciel est en constante amélioration, pour apporter à l’établissement scolaire des outils simples et utiles. Une interface d’administration est accessible, permettant d’avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> ... => suggestions : ['…']
19 Espace(s) en fin de ligne à supprimer. => Site Officiel :  <|>   => suggestions : ['']
20 Espace(s) en fin de ligne à supprimer. =>   * http://www.triade-educ.com    <|>     => suggestions : ['']
21 Espace(s) en fin de ligne à supprimer. =>   * http://forum.triade-educ.com   <|>    => suggestions : ['']
22 Espace(s) en fin de ligne à supprimer. =>   * http://support.triade-educ.com   <|>    => suggestions : ['']
35 Mot inconnu : oeuvre =>   * Mise en oeuvre du logiciel TRIADE <|> oeuvre
37 Espace(s) en fin de ligne à supprimer. =>   * Gestion du forum  <|>   => suggestions : ['']
38 Espace(s) en fin de ligne à supprimer. =>   * Gestion des SMS  <|>   => suggestions : ['']
40 Espace(s) en fin de ligne à supprimer. =>   * Surveillance d'activité  <|>   => suggestions : ['']
42 Espace(s) en fin de ligne à supprimer. =>   * Gestion de la sécurité  <|>   => suggestions : ['']
44 Mot inconnu : tt =>   * Sauvegarde automatique (tt les 6h) de la base et des données <|> tt
