
5 Mot inconnu : LDAP => ====== LDAP client ====== | ldap

11 Mot inconnu : Sun => L'utilisateur qui désire s'authentifier avec Sun Java Enterprise System Directory Server doit regarder la [[https://wiki.ubuntu.com/SunLDAPClientAuthentication|page sur la documentation en anglais]]. | sun
11 Mot inconnu : Enterprise => L'utilisateur qui désire s'authentifier avec Sun Java Enterprise System Directory Server doit regarder la [[https://wiki.ubuntu.com/SunLDAPClientAuthentication|page sur la documentation en anglais]]. | enterprise
11 Mot inconnu : System => L'utilisateur qui désire s'authentifier avec Sun Java Enterprise System Directory Server doit regarder la [[https://wiki.ubuntu.com/SunLDAPClientAuthentication|page sur la documentation en anglais]]. | system
11 Mot inconnu : Directory => L'utilisateur qui désire s'authentifier avec Sun Java Enterprise System Directory Server doit regarder la [[https://wiki.ubuntu.com/SunLDAPClientAuthentication|page sur la documentation en anglais]]. | directory
11 Mot inconnu : Server => L'utilisateur qui désire s'authentifier avec Sun Java Enterprise System Directory Server doit regarder la [[https://wiki.ubuntu.com/SunLDAPClientAuthentication|page sur la documentation en anglais]]. | server

13 Mot inconnu : Gutsy => ===== Note pour Gutsy ===== | gutsy

15 Mot inconnu : Gutsy => Il y a un nouvel outil dans Gutsy pour modifier les outils de pam et de nsswitch en même temps :  | gutsy
15 Mot inconnu : pam => Il y a un nouvel outil dans Gutsy pour modifier les outils de pam et de nsswitch en même temps :  | pam
15 Mot inconnu : nsswitch => Il y a un nouvel outil dans Gutsy pour modifier les outils de pam et de nsswitch en même temps :  | nsswitch
15 Espace(s) en fin de ligne à supprimer. => Il y a un nouvel outil dans Gutsy pour modifier les outils de pam et de nsswitch en même temps :  |   => suggestions : ['']

18 Mot inconnu : LDAP => ===== L’installation et la configuration de LDAP ===== | ldap

20 Mot inconnu : nsswitch => ==== La configuration de nsswitch.conf ==== | nsswitch
20 Il manque un espace. => ==== La configuration de nsswitch.conf ==== | conf => suggestions : [' conf']

22 Espace(s) surnuméraire(s) à supprimer. => Malheureusement nous ne pouvons tester la configuration des paquets plus haut sans la modification de  /etc/nsswitch.conf : |    => suggestions : [' ']

26 Mot inconnu : compat => et remplacer **compat** par **ldap files** ou par cette commande dans vi : | compat
26 Mot inconnu : ldap => et remplacer **compat** par **ldap files** ou par cette commande dans vi : | ldap
26 Mot inconnu : vi => et remplacer **compat** par **ldap files** ou par cette commande dans vi : | vi

38 Mot inconnu : nscd => Pensez à **redémarrer le démon nscd**, qui garde en cache les résultats : | nscd

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  /etc/init.d/nscd restart |   => suggestions : ['']
40 Mot inconnu : restart =>  /etc/init.d/nscd restart | restart

41 Espace(s) en fin de ligne à supprimer. => ou   |    => suggestions : ['']

43 Mot inconnu : nscd => service nscd restart | nscd
43 Mot inconnu : restart => service nscd restart | restart

45 Mot inconnu : nsswitch => ===== Tester la configuration de nsswitch.conf avec getent ===== | nsswitch
45 Il manque un espace. => ===== Tester la configuration de nsswitch.conf avec getent ===== | conf => suggestions : [' conf']
45 Mot inconnu : getent => ===== Tester la configuration de nsswitch.conf avec getent ===== | getent

50 Mot inconnu : LDAP => les commandes plus bas (remplacer **<someldapuser>** par un nom d'utilisateur et **<someldapgroup>** par un nom de groupe présent dans votre serveur LDAP) : | ldap

55 Mot inconnu : nsswitch => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  | nsswitch
55 Il manque un espace. => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  | conf => suggestions : [' conf']
55 Espace(s) en fin de ligne à supprimer. => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  |   => suggestions : ['']

56 Mot inconnu : PAM => de configurer PAM. | pam
58 Mot inconnu : getent => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | getent
58 Mot inconnu : passwd => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | passwd
