
3 Mot inconnu : Nvclock => ====== Nvclock permet une gestion avancée des cartes nvidia ====== | nvclock
3 Mot inconnu : nvidia => ====== Nvclock permet une gestion avancée des cartes nvidia ====== | nvidia

4 Mot inconnu : nVidia => <note warning>**Attention**\\ L'utilisation de ce programme d'optimisation permet de dépasser les paramètres de réglage usine de nVidia ce qui peut endommager votre matériel ou provoquer son vieillissement prématuré</note> | nvidia

17 Mot inconnu : Nvclock => L'application Nvclock permet d'effectuer les réglages suivants :  | nvclock
17 Espace(s) en fin de ligne à supprimer. => L'application Nvclock permet d'effectuer les réglages suivants :  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Overclocking |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des ventilateurs |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de la luminosité (support des Geforce 6200 uniquement pour l'instant !) |    => suggestions : ['']
21 Mot inconnu : Geforce =>   * Gestion de la luminosité (support des Geforce 6200 uniquement pour l'instant !) | geforce

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activation des pipelines masqués |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
23 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev |     => suggestions : ['']
29 Mot inconnu : sudo =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | sudo
29 Mot inconnu : apt-get =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | apt-get
29 Mot inconnu : install =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | install
29 Mot inconnu : build-essential =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | build-essential
29 Mot inconnu : libX11-dev =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | libx11-dev
29 Mot inconnu : libgtk2 =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | libgtk2
29 Mot inconnu : dev =>    sudo apt-get install build-essential libX11-dev libgtk2.0-dev | dev

42 Mot inconnu : b2 => Le problème peut venir de la version disponible qui est actuellement la 0.8b2 alors que la version 0.8b3 est disponible et permet un support de plus de carte graphique. Seulement il faut compiler les sources.... | b2
42 Mot inconnu : b3 => Le problème peut venir de la version disponible qui est actuellement la 0.8b2 alors que la version 0.8b3 est disponible et permet un support de plus de carte graphique. Seulement il faut compiler les sources.... | b3
42 Typographie : points de suspension. Utilisez le caractère dédié. => Le problème peut venir de la version disponible qui est actuellement la 0.8b2 alors que la version 0.8b3 est disponible et permet un support de plus de carte graphique. Seulement il faut compiler les sources.... | .... => suggestions : ['…']

44 Mot inconnu : Heron => Sous Hardy Heron (8.04), la version 0.8b3 est directement disponible par les dépôts. Il suffit donc d'utiliser la méthode graphique décrite au-dessus. | heron
44 Mot inconnu : b3 => Sous Hardy Heron (8.04), la version 0.8b3 est directement disponible par les dépôts. Il suffit donc d'utiliser la méthode graphique décrite au-dessus. | b3

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      ./configure --disable-qt --x-includes=/usr/include/X11 --x-libraries=/usr/lib |       => suggestions : ['']
52 Mot inconnu : disable-qt =>      ./configure --disable-qt --x-includes=/usr/include/X11 --x-libraries=/usr/lib | disable-qt
52 Mot inconnu : x-includes =>      ./configure --disable-qt --x-includes=/usr/include/X11 --x-libraries=/usr/lib | x-includes
52 Mot inconnu : x-libraries =>      ./configure --disable-qt --x-includes=/usr/include/X11 --x-libraries=/usr/lib | x-libraries

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      make |       => suggestions : ['']
53 Mot inconnu : make =>      make | make

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      src/gtk/nvclock_gtk |       => suggestions : ['']
57 Mot inconnu : src =>      src/gtk/nvclock_gtk | src
57 Mot inconnu : nvclock_gtk =>      src/gtk/nvclock_gtk | nvclock_gtk

64 Mot inconnu : NVClock-gtk => == NVClock-gtk == | nvclock-gtk

66 Mot inconnu : nvclock => Il existe aussi une version graphique de nvclock nommée nvclock-gtk | nvclock
66 Mot inconnu : nvclock-gtk => Il existe aussi une version graphique de nvclock nommée nvclock-gtk | nvclock-gtk

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      sudo apt-get install nvclock nvclock-gtk |       => suggestions : ['']
69 Mot inconnu : sudo =>      sudo apt-get install nvclock nvclock-gtk | sudo
69 Mot inconnu : apt-get =>      sudo apt-get install nvclock nvclock-gtk | apt-get
69 Mot inconnu : install =>      sudo apt-get install nvclock nvclock-gtk | install
69 Mot inconnu : nvclock =>      sudo apt-get install nvclock nvclock-gtk | nvclock
69 Mot inconnu : nvclock-gtk =>      sudo apt-get install nvclock nvclock-gtk | nvclock-gtk

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      nvclock_gtk |       => suggestions : ['']
72 Mot inconnu : nvclock_gtk =>      nvclock_gtk | nvclock_gtk

79 Écriture invariable. Utilisez un point médian. => ===== Note(s) ===== | note(s) => suggestions : ['Note·s']

83 Mot inconnu : irc => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | irc
83 Mot inconnu : at => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | at
83 Mot inconnu : freenode => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | freenode
