
5 Mot inconnu : Primax => ====== Scanner Primax Colorado Direct 9600 ====== | primax

9 Mot inconnu : Primax => Cependant, si votre ordinateur ne vous permet pas de l'utiliser avec le scanner Primax Colorado Direct 9600, il y a une solution (mais qui ne fonctionne pas à 100 %, loin de là) : **pxscan**, un programme créé par rétro-ingénierie. | primax
9 Mot inconnu : pxscan => Cependant, si votre ordinateur ne vous permet pas de l'utiliser avec le scanner Primax Colorado Direct 9600, il y a une solution (mais qui ne fonctionne pas à 100 %, loin de là) : **pxscan**, un programme créé par rétro-ingénierie. | pxscan

11 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Auparavant, il faut le compiler car il n'existe pas de paquet dans les dépôts. |  car => suggestions : [', car']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

23 Mot inconnu : feisty => Pour compiler sous [[feisty|Ubuntu 7.04]] : | feisty

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * téléchargez pxscan ; |    => suggestions : ['']
27 Mot inconnu : pxscan =>   * téléchargez pxscan ; | pxscan

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * décompressez-le. |    => suggestions : ['']

34 Mot inconnu : Makefile => Dans le fichier « Makefile », remplacer : | makefile

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   TIFF_INCLUDE = /usr/local/tiff-v3.4/libtiff/ |    => suggestions : ['']
36 Mot inconnu : TIFF_INCLUDE =>   TIFF_INCLUDE = /usr/local/tiff-v3.4/libtiff/ | tiff_include

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   TIFF_INCLUDE = /usr/include/ |    => suggestions : ['']
40 Mot inconnu : TIFF_INCLUDE =>   TIFF_INCLUDE = /usr/include/ | tiff_include

42 Mot inconnu : libtiff => Il s'agit, vous l'avez compris, de l'emplacement de la bibliothèque « libtiff ». | libtiff
44 Mot inconnu : README => Pour la suite, suivez les instructions du fichier « README.FIRST » présent avec les sources. | readme
44 Mot inconnu : FIRST => Pour la suite, suivez les instructions du fichier « README.FIRST » présent avec les sources. | first

53 Mot inconnu : README => Le fichier « README » joint aux sources vous en apprendra plus quant à son utilisation. | readme
