
4 Mot inconnu : Pacapt => ====== Pacapt alias Pacman sous Ubuntu (gestionnaire de paquets) ====== | pacapt
4 Mot inconnu : Pacman => ====== Pacapt alias Pacman sous Ubuntu (gestionnaire de paquets) ====== | pacman

6 Mot inconnu : installer_ubuntu_selon_besoins => <note tip>Pour aller plus loin dans la configuration globale de votre poste de travail, vous pouvez consulter la documentation complète \\ [[installer_ubuntu_selon_besoins|Ubuntu à votre image : Configurer votre ordinateur selon vos besoins]]</note> | installer_ubuntu_selon_besoins

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

10 Mot inconnu : bauh => Avec lui, vous pouvez installer des paquets que vous pourrez gérer graphiquement grâce au [[bauh|gestionnaire de paquets Bauh]] qui dispose d'une interface graphique. | bauh
10 Mot inconnu : Bauh => Avec lui, vous pouvez installer des paquets que vous pourrez gérer graphiquement grâce au [[bauh|gestionnaire de paquets Bauh]] qui dispose d'une interface graphique. | bauh

19 Mot inconnu : Pacapt => Pour installer Pacapt, il vous faudra : | pacapt

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une connexion internet fonctionnelle ; |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les droits d'administration de la machine ; |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * activer le dépôt Universe (pour les distributions antérieures à Focal Fossa 20.04). |    => suggestions : ['']
23 Mot inconnu : Universe =>   * activer le dépôt Universe (pour les distributions antérieures à Focal Fossa 20.04). | universe
23 Mot inconnu : Fossa =>   * activer le dépôt Universe (pour les distributions antérieures à Focal Fossa 20.04). | fossa

28 Mot inconnu : Fossa => ==== Installation classique avant Focal Fossa 20.04 ==== | fossa

32 Mot inconnu : sudo => sudo apt-get install htop</code> | sudo
32 Mot inconnu : apt-get => sudo apt-get install htop</code> | apt-get
32 Mot inconnu : install => sudo apt-get install htop</code> | install
34 Mot inconnu : Pacman => Voilà ! Pacman est installé sur votre système | pacman

36 Mot inconnu : Pacapt => Si Pacapt n'est pas disponible, passez à la procédure ci-dessous. | pacapt

38 Mot inconnu : Fossa => ==== Installation sous Focal Fossa 20.04 ==== | fossa

40 Guillemets typographiques ouvrants. => <file bash "Installation de Pacapt".sh> | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => <file bash "Installation de Pacapt".sh> | " => suggestions : ['\xa0»', '”']

41 Mot inconnu : sudo => sudo wget -O /usr/local/bin/pacapt \ | sudo
41 Mot inconnu : wget => sudo wget -O /usr/local/bin/pacapt \ | wget
