
168 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb
168 Mot inconnu : trusty-backports => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
168 Mot inconnu : restricted => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
168 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
168 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

170 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

171 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb-src
171 Mot inconnu : trusty-backports => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
171 Mot inconnu : restricted => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
171 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
171 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

174 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Canadiens == <|> canadiens => suggestions : ['canadiens']

176 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb
176 Mot inconnu : trusty-backports => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
176 Mot inconnu : restricted => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
176 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
176 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

178 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

179 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb-src
179 Mot inconnu : trusty-backports => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
179 Mot inconnu : restricted => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
179 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
179 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

184 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb
184 Mot inconnu : trusty-backports => deb http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
184 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
184 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
184 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

186 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

187 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb-src
187 Mot inconnu : trusty-backports => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
187 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
187 Mot inconnu : universe => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
187 Mot inconnu : multiverse => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

192 Mot inconnu : Proposed => ==== Dépôts Proposed ==== <|> proposed

196 Mot inconnu : Proposed => <note important>Les dépôts //Proposed// servent à tester des paquets ou des mises à jour avant qu'ils n'intègrent définitivement les dépôts standards. Ils peuvent donc être à l'origine de bogues ou de corruption de votre système. //N'ajoutez ces dépôts à votre liste que si vous savez ce que vous faites !// <|> proposed

200 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Français == <|> français => suggestions : ['français']

202 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb
202 Mot inconnu : trusty-proposed => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
202 Mot inconnu : restricted => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
202 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
202 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

204 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

205 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb-src
205 Mot inconnu : trusty-proposed => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
205 Mot inconnu : restricted => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
205 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
205 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

208 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Belges == <|> belges => suggestions : ['belges']

210 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb
210 Mot inconnu : trusty-proposed => deb http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
210 Mot inconnu : restricted => deb http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
210 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
210 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

212 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

213 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb-src
213 Mot inconnu : trusty-proposed => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
213 Mot inconnu : restricted => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
213 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
213 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

216 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Suisses == <|> suisses => suggestions : ['suisses']

218 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb
218 Mot inconnu : trusty-proposed => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
218 Mot inconnu : restricted => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
218 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
218 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

220 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

221 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb-src
221 Mot inconnu : trusty-proposed => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
221 Mot inconnu : restricted => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
221 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
221 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

224 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Canadiens == <|> canadiens => suggestions : ['canadiens']

226 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb
226 Mot inconnu : trusty-proposed => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
226 Mot inconnu : restricted => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
226 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
226 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

228 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

229 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb-src
229 Mot inconnu : trusty-proposed => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
229 Mot inconnu : restricted => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
229 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
229 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

234 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb
234 Mot inconnu : trusty-proposed => deb http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
234 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
234 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
234 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

236 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

237 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> deb-src
237 Mot inconnu : trusty-proposed => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> trusty-proposed
237 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> restricted
237 Mot inconnu : universe => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> universe
237 Mot inconnu : multiverse => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-proposed main restricted universe multiverse <|> multiverse

246 Mot inconnu : deb => deb http://archive.canonical.com/ubuntu trusty partner <|> deb
246 Mot inconnu : partner => deb http://archive.canonical.com/ubuntu trusty partner <|> partner

249 Mot inconnu : deb-src => # deb-src http://archive.canonical.com/ubuntu trusty partner <|> deb-src
249 Mot inconnu : partner => # deb-src http://archive.canonical.com/ubuntu trusty partner <|> partner

255 Mot inconnu : ARM => === Architecture ARM === <|> arm

256 Mot inconnu : ARM => Ce dépôt ne concerne que les utilisateurs de machines à processeur type ARM <|> arm

258 Mot inconnu : ARM => ## ARM <|> arm

259 Mot inconnu : deb => deb http://ports.ubuntu.com/ trusty main restricted universe multiverse <|> deb
259 Mot inconnu : restricted => deb http://ports.ubuntu.com/ trusty main restricted universe multiverse <|> restricted
259 Mot inconnu : universe => deb http://ports.ubuntu.com/ trusty main restricted universe multiverse <|> universe
259 Mot inconnu : multiverse => deb http://ports.ubuntu.com/ trusty main restricted universe multiverse <|> multiverse

260 Mot inconnu : deb => deb http://ports.ubuntu.com/ trusty-updates main restricted universe multiverse <|> deb
260 Mot inconnu : trusty-updates => deb http://ports.ubuntu.com/ trusty-updates main restricted universe multiverse <|> trusty-updates
260 Mot inconnu : restricted => deb http://ports.ubuntu.com/ trusty-updates main restricted universe multiverse <|> restricted
260 Mot inconnu : universe => deb http://ports.ubuntu.com/ trusty-updates main restricted universe multiverse <|> universe
260 Mot inconnu : multiverse => deb http://ports.ubuntu.com/ trusty-updates main restricted universe multiverse <|> multiverse

261 Mot inconnu : deb => deb http://ports.ubuntu.com/ trusty-security main restricted universe multiverse <|> deb
261 Mot inconnu : trusty-security => deb http://ports.ubuntu.com/ trusty-security main restricted universe multiverse <|> trusty-security
261 Mot inconnu : restricted => deb http://ports.ubuntu.com/ trusty-security main restricted universe multiverse <|> restricted
261 Mot inconnu : universe => deb http://ports.ubuntu.com/ trusty-security main restricted universe multiverse <|> universe
261 Mot inconnu : multiverse => deb http://ports.ubuntu.com/ trusty-security main restricted universe multiverse <|> multiverse
