
3 Mot inconnu : Edubuntu => ====== Edubuntu - Menus ltsp personnalisés ====== | edubuntu
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Edubuntu - Menus ltsp personnalisés ====== |  -  => suggestions : [' – ', ' — ', ' − ']
3 Mot inconnu : ltsp => ====== Edubuntu - Menus ltsp personnalisés ====== | ltsp

7 Apostrophe incorrecte. => La documentation d' EDUBUNTU permet, via MenuEditor, de créer les menus des clients légers et de les affecter aux comptes LTSP de son choix. En revanche on ne peut les relire et à fortiori les compléter. | d'  => suggestions : ['d’']
7 Guillemets typographiques fermants. => La documentation d' EDUBUNTU permet, via MenuEditor, de créer les menus des clients légers et de les affecter aux comptes LTSP de son choix. En revanche on ne peut les relire et à fortiori les compléter. | ' => suggestions : ['”', '’', '›']
7 Mot inconnu : EDUBUNTU => La documentation d' EDUBUNTU permet, via MenuEditor, de créer les menus des clients légers et de les affecter aux comptes LTSP de son choix. En revanche on ne peut les relire et à fortiori les compléter. | edubuntu
7 Mot inconnu : MenuEditor => La documentation d' EDUBUNTU permet, via MenuEditor, de créer les menus des clients légers et de les affecter aux comptes LTSP de son choix. En revanche on ne peut les relire et à fortiori les compléter. | menueditor
7 Mot inconnu : LTSP => La documentation d' EDUBUNTU permet, via MenuEditor, de créer les menus des clients légers et de les affecter aux comptes LTSP de son choix. En revanche on ne peut les relire et à fortiori les compléter. | ltsp

17 Accord avec “présentent”. => Il se présentent sous forme de structures XML en deux branches de répertoires pouvant se situer à différents endroits de l'arborescence du disque. | il => suggestions : ['Ils']
17 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Il se présentent sous forme de structures XML en deux branches de répertoires pouvant se situer à différents endroits de l'arborescence du disque. | présentent => suggestions : ['présente']

19 Mot inconnu : LTSP => Ainsi, l'organisation du menu LTSP par défaut de menueditor se trouve dans : | ltsp
19 Mot inconnu : menueditor => Ainsi, l'organisation du menu LTSP par défaut de menueditor se trouve dans : | menueditor

23 Mot inconnu : Monmenu => Monmenu est le nom que l'on a donné à menueditor pour personnaliser le ou les menus clients. | monmenu
23 Mot inconnu : menueditor => Monmenu est le nom que l'on a donné à menueditor pour personnaliser le ou les menus clients. | menueditor

24 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => C'est ce menu qu'on ne peut relire, après qu'on l'ai créé. | ai => suggestions : ['a']

31 Mot inconnu : __Première => **__Première étape__** | __première
31 Mot inconnu : étape__ => **__Première étape__** | étape__

35 Mot inconnu : menueditor => La première étape consiste à créer, sur le serveur, un compte client de référence ayant le statut administrateur qui va servir de compte où sera bâti le menu client de référence à l'aide de menueditor. Ce menu, dans le sous-répertoire "xdg", | menueditor
35 Guillemets typographiques ouvrants. => La première étape consiste à créer, sur le serveur, un compte client de référence ayant le statut administrateur qui va servir de compte où sera bâti le menu client de référence à l'aide de menueditor. Ce menu, dans le sous-répertoire "xdg", | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : xdg => La première étape consiste à créer, sur le serveur, un compte client de référence ayant le statut administrateur qui va servir de compte où sera bâti le menu client de référence à l'aide de menueditor. Ce menu, dans le sous-répertoire "xdg", | xdg
35 Guillemets typographiques fermants. => La première étape consiste à créer, sur le serveur, un compte client de référence ayant le statut administrateur qui va servir de compte où sera bâti le menu client de référence à l'aide de menueditor. Ce menu, dans le sous-répertoire "xdg", | " => suggestions : ['\xa0»', '”']

37 Guillemets typographiques ouvrants. => porte le nom par défaut de "application.menu". On ne peut pas le changer. | " => suggestions : ['«\xa0', '“']
37 Il manque un espace. => porte le nom par défaut de "application.menu". On ne peut pas le changer. | menu => suggestions : [' menu']
37 Guillemets typographiques fermants. => porte le nom par défaut de "application.menu". On ne peut pas le changer. | " => suggestions : ['\xa0»', '”']

43 Mot inconnu : __Deuxième => **__Deuxième étape__** | __deuxième
43 Mot inconnu : étape__ => **__Deuxième étape__** | étape__

46 Mot inconnu : monmenu => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | monmenu
46 Guillemets typographiques ouvrants. => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : Alacarte => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | alacarte
