
4 Mot inconnu : AppleTalk [[41:50]] => ====== Comment partager des données avec AppleTalk ====== <|> appletalk
17 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[55:59]] => <note warning>Attention: ce tutoriel a été mis en place car les seuls tutos récents disponibles sur internet sont en Anglais, et sont à priori un peu trop succints pour des débutants. Il est suffisant pour une installation sur un petit réseau de confiance, mais ne garantit rien en matière de sécurité.\\ <|>  car => suggestions : None
17 Si vous parlez de la langue, pas de majuscule. [[117:124]] => <note warning>Attention: ce tutoriel a été mis en place car les seuls tutos récents disponibles sur internet sont en Anglais, et sont à priori un peu trop succints pour des débutants. Il est suffisant pour une installation sur un petit réseau de confiance, mais ne garantit rien en matière de sécurité.\\ <|> anglais => suggestions : None
17 Mot inconnu : succints [[155:163]] => <note warning>Attention: ce tutoriel a été mis en place car les seuls tutos récents disponibles sur internet sont en Anglais, et sont à priori un peu trop succints pour des débutants. Il est suffisant pour une installation sur un petit réseau de confiance, mais ne garantit rien en matière de sécurité.\\ <|> succints
23 Mot inconnu : netatalk-3 [[34:44]] =>   * L'archive devrait se nommer //netatalk-3.0.4.tar.bz2//, sinon adaptez le nom dans le tuto. <|> netatalk-3
23 Mot inconnu : bz2 [[53:56]] =>   * L'archive devrait se nommer //netatalk-3.0.4.tar.bz2//, sinon adaptez le nom dans le tuto. <|> bz2

27 Mot inconnu : avahi-compat-libdnssd-dev [[24:49]] => <note>Si le paquet //libavahi-compat-libdnssd-dev// est installé, désinstallez-le.</note> <|> avahi-compat-libdnssd-dev

118 Guillemets typographiques ouvrants. [[86:87]] => <note warning>Pour un fonctionnement optimal, il est impératif d'avoir uniquement des "yes" dans la section "options". Si ce n'est pas le cas, vérifiez que les paquets initialement requis sont bien présents et relancez configure.</note> <|> " => suggestions : None
118 Mot inconnu : yes [[87:90]] => <note warning>Pour un fonctionnement optimal, il est impératif d'avoir uniquement des "yes" dans la section "options". Si ce n'est pas le cas, vérifiez que les paquets initialement requis sont bien présents et relancez configure.</note> <|> yes
118 Guillemets typographiques fermants. [[90:91]] => <note warning>Pour un fonctionnement optimal, il est impératif d'avoir uniquement des "yes" dans la section "options". Si ce n'est pas le cas, vérifiez que les paquets initialement requis sont bien présents et relancez configure.</note> <|> " => suggestions : None
118 Guillemets typographiques ouvrants. [[108:109]] => <note warning>Pour un fonctionnement optimal, il est impératif d'avoir uniquement des "yes" dans la section "options". Si ce n'est pas le cas, vérifiez que les paquets initialement requis sont bien présents et relancez configure.</note> <|> " => suggestions : None
118 Guillemets typographiques fermants. [[116:117]] => <note warning>Pour un fonctionnement optimal, il est impératif d'avoir uniquement des "yes" dans la section "options". Si ce n'est pas le cas, vérifiez que les paquets initialement requis sont bien présents et relancez configure.</note> <|> " => suggestions : None

121 Mot inconnu : make [[0:4]] => make</code>Oui oui, c'est tout! Et comme cette partie prend du temps, vous pouvez même vous faire un café. ;-) <|> make

124 Mot inconnu : sudo [[0:4]] => sudo checkinstall</code>FIXME préférer la deuxième méthode non? <|> sudo
124 Mot inconnu : checkinstall [[5:17]] => sudo checkinstall</code>FIXME préférer la deuxième méthode non? <|> checkinstall

136 Mot inconnu : décommentées [[108:120]] => Le mieux étant de tout laisser par défaut, donc ne rien écrire, et vérifier que ces deux sections sont bien décommentées (pas de dièse # ni de point-virgules en début de chaque ligne de la section concernée). <|> décommentées

138 Espace(s) en fin de ligne à supprimer. [[76:77]] => Il faut également vérifier la présence, dans la section [Homes], de la ligne  <|>   => suggestions : None

141 Mot inconnu : User's [[139:145]] => Par exemple, ici il a été défini // /home // dans la ligne, donc si vous vous connectez à partir d'un mac, vous aurez accès à un dossier **User's home**, ou quelque chose d'approchant. <|> user's

149 Mot inconnu : netatalk [[9:17]] => Pour que netatalk démarre en même temps que votre ordinateur, tapez simplement la commande suivante: <|> netatalk
159 Mot inconnu : Avahi [[32:37]] => FIXME Pourquoi ne pas parler de Avahi Daemon, qui permet d'activer le service Bonjour (ou Zeroconf) et ainsi d'avoir automatiquement les partages repéré ? <|> avahi
159 Mot inconnu : Zeroconf [[90:98]] => FIXME Pourquoi ne pas parler de Avahi Daemon, qui permet d'activer le service Bonjour (ou Zeroconf) et ainsi d'avoir automatiquement les partages repéré ? <|> zeroconf
159 Accord de nombre erroné avec « les partages » : « repéré » devrait être au pluriel. [[146:152]] => FIXME Pourquoi ne pas parler de Avahi Daemon, qui permet d'activer le service Bonjour (ou Zeroconf) et ainsi d'avoir automatiquement les partages repéré ? <|> repéré => suggestions : None
