
5 Mot inconnu : Pavucontrol => ======Le contrôleur de volume Pavucontrol====== | pavucontrol

9 Mot inconnu : Pavucontrol => **Pavucontrol** permet l'activation/désactivation des différents périphériques audio et aussi de configurer l'enregistrement du flux audio de sortie (Ce que vous entendez) de votre ordinateur. | pavucontrol

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à internet configurée et activée ; |    => suggestions : ['']
15 Accord de genre erroné avec « internet ». =>   * Disposer d'une connexion à internet configurée et activée ; | configurée => suggestions : ['configuré']

21 Mot inconnu : Pavucontrol => **Pavucontrol** n'entre pas en conflit avec les autres contrôleurs de volume déjà installés. Il n'est donc pas nécessaire de désinstaller les autres contrôleurs de volume présents dans votre configuration.\\ | pavucontrol

31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |- Réglage du son général de sortie.\\ - Réglage du son pour chaque application* audio en service.|- Réglage du volume d'entrée pour chaque application* de capture audio en service.|- Réglage des volumes de chaque périphérique de sortie audio installés ou connectés.\\ //(Sélectionner le périphérique dans la liste déroulante **Port:**)//|- Réglage des volumes de chaque périphérique d'entrée audio installés ou connectés.\\ //(Sélectionner le périphérique dans la liste déroulante **Port:**)//|- Configuration des périphériques présents ou connectés.| |  -  => suggestions : [' – ', ' — ', ' − ']

38 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => //(À ne faire qu'une seule fois, lors de la 1ère utilisation)// \\  | 1ère => suggestions : ['1ʳᵉ']
38 Espace(s) en fin de ligne à supprimer. => //(À ne faire qu'une seule fois, lors de la 1ère utilisation)// \\  |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Démarrer un flux audio (une vidéo, une webradio/webTV,...); |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Démarrer un flux audio (une vidéo, une webradio/webTV,...); |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : webTV =>   - Démarrer un flux audio (une vidéo, une webradio/webTV,...); | webtv
39 Erreur de numérisation ? Virgules au lieu de points ? =>   - Démarrer un flux audio (une vidéo, une webradio/webTV,...); | ,... => suggestions : ['….']
39 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Démarrer un flux audio (une vidéo, une webradio/webTV,...); | ... => suggestions : ['…']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans l'onglet "Enregistrement" apparaît alors: |    => suggestions : ['']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans l'onglet "Enregistrement" apparaît alors: |  -  => suggestions : [' – ', ' — ', ' − ']
41 Guillemets typographiques ouvrants. =>   - Dans l'onglet "Enregistrement" apparaît alors: | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   - Dans l'onglet "Enregistrement" apparaît alors: | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * capture de -> **''Built-in Audio interne Stéréo Analogique'' **\\ Le modifier en: |      => suggestions : ['']
42 Mot inconnu : Built-in =>     * capture de -> **''Built-in Audio interne Stéréo Analogique'' **\\ Le modifier en: | built-in
42 Guillemets typographiques fermants. =>     * capture de -> **''Built-in Audio interne Stéréo Analogique'' **\\ Le modifier en: | '' => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * capture de -> **''Monitor of Built-in Audio interne Stéréo Analogique''** \\ //(Exemple de nom pour une carte son générique, il peut être différent pour d'autres cartes)// |      => suggestions : ['']
43 Mot inconnu : of =>     * capture de -> **''Monitor of Built-in Audio interne Stéréo Analogique''** \\ //(Exemple de nom pour une carte son générique, il peut être différent pour d'autres cartes)// | of
43 Mot inconnu : Built-in =>     * capture de -> **''Monitor of Built-in Audio interne Stéréo Analogique''** \\ //(Exemple de nom pour une carte son générique, il peut être différent pour d'autres cartes)// | built-in
43 Guillemets typographiques fermants. =>     * capture de -> **''Monitor of Built-in Audio interne Stéréo Analogique''** \\ //(Exemple de nom pour une carte son générique, il peut être différent pour d'autres cartes)// | '' => suggestions : ['\xa0»', '”']

47 Mot inconnu : Pavucontrol => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | pavucontrol
47 Mot inconnu : Establishing => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | establishing
47 Mot inconnu : connection => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | connection
47 Mot inconnu : to => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | to
47 Mot inconnu : PulseAudio => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | pulseaudio
47 Mot inconnu : Please => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | please
47 Mot inconnu : wait => Si suite à une mise à jour ou fausse manip, Pavucontrol affiche ce message suivant en boucle : //“Establishing connection to PulseAudio. Please wait…”// sans possibilité de le reconfigurer et il n'y a plus de son. Pour récupérer le son, il suffit de procéder comme suit : | wait

50 Mot inconnu : rm => rm -r ~/.config/pulse/</code> | rm
50 Il manque un espace à côté du tiret. => rm -r ~/.config/pulse/</code> |  - => suggestions : [' – ', ' — ']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez votre votre ordinateur. |    => suggestions : ['']
51 Doublon. =>   * Redémarrez votre votre ordinateur. | votre votre => suggestions : ['votre']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://freedesktop.org/software/pulseaudio/pavucontrol/|Le site officiel]] |    => suggestions : ['']
62 Mot inconnu : Maltouzes => //Contributeurs : Maltouzes.//  | maltouzes
62 Espace(s) en fin de ligne à supprimer. => //Contributeurs : Maltouzes.//  |   => suggestions : ['']
