1 Mot inconnu : hardy => [[BROUILLON]],[[hardy]],[[freebox]],[[television]] | hardy
1 Mot inconnu : freebox => [[BROUILLON]],[[hardy]],[[freebox]],[[television]] | freebox
1 Mot inconnu : television => [[BROUILLON]],[[hardy]],[[freebox]],[[television]] | television

5 Mot inconnu : Freebox => ====== Freebox, ATI et Carte TV ====== | freebox
5 Mot inconnu : ATI => ====== Freebox, ATI et Carte TV ====== | ati

11 Mot inconnu : ATI => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | ati
11 Mot inconnu : Radeon => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | radeon
11 Mot inconnu : HD3650 => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | hd3650
11 Mot inconnu : radeonhd => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | radeonhd
11 Mot inconnu : Pinnacle => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | pinnacle
11 Mot inconnu : PCTV => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | pctv
11 Mot inconnu : ca => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | ca
