
5 Mot inconnu : ZeroConf => ====== ZeroConf ====== | zeroconf

15 Mot inconnu : ZeroConf => **ZeroConf** est une collection d'outils et de protocoles servant à l'autoconfiguration des réseaux. Cette technologie est appelée //Bonjour// (ou encore //RendezVous//) par Apple et est utilisée intensivement par Mac OS X. | zeroconf
15 Mot inconnu : autoconfiguration => **ZeroConf** est une collection d'outils et de protocoles servant à l'autoconfiguration des réseaux. Cette technologie est appelée //Bonjour// (ou encore //RendezVous//) par Apple et est utilisée intensivement par Mac OS X. | autoconfiguration
15 Mot inconnu : RendezVous => **ZeroConf** est une collection d'outils et de protocoles servant à l'autoconfiguration des réseaux. Cette technologie est appelée //Bonjour// (ou encore //RendezVous//) par Apple et est utilisée intensivement par Mac OS X. | rendezvous

17 Mot inconnu : ZeroConf => ZeroConf est composé de : | zeroconf

22 Conjugaison erronée. Accord avec “la plupart”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Traditionnellement, la plupart de ce travail est réalisé par DHCP et DNS. Cependant, la conception décentralisée de ZeroConf est plus appropriée dans certaines situations, comme pour les réseaux //ad hoc//. De plus, cela se fait sans aucune configuration (mise à part celle de l'installation de ZeroConf). | est => suggestions : ['sont']
22 Mot inconnu : ZeroConf => Traditionnellement, la plupart de ce travail est réalisé par DHCP et DNS. Cependant, la conception décentralisée de ZeroConf est plus appropriée dans certaines situations, comme pour les réseaux //ad hoc//. De plus, cela se fait sans aucune configuration (mise à part celle de l'installation de ZeroConf). | zeroconf
22 Mot inconnu : ZeroConf => Traditionnellement, la plupart de ce travail est réalisé par DHCP et DNS. Cependant, la conception décentralisée de ZeroConf est plus appropriée dans certaines situations, comme pour les réseaux //ad hoc//. De plus, cela se fait sans aucune configuration (mise à part celle de l'installation de ZeroConf). | zeroconf

24 Mot inconnu : ZeroConf => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | zeroconf
24 Mot inconnu : hostname => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | hostname
24 Il manque un espace. => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | local => suggestions : [' local']
24 Mot inconnu : MDNS => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | mdns
24 Mot inconnu : Multicast => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | multicast
24 Mot inconnu : LAN => ZeroConf s'intègre très bien avec les outils traditionnels. Par exemple, vous pouvez obtenir une adresse IP par DHCP et utiliser le service DNS pour résoudre les adresses sur internet, tout en utilisant le hostname.local de MDNS //(Multicast DNS)// pour résoudre les adresses des autres ordinateurs sur le LAN. | lan
26 Mot inconnu : ZeroConf => Remarque : Si vous souhaitez utiliser ZeroConf dans un réseau qui ne vous appartient pas, il est préférable de contacter en premier l'administrateur réseau. Bien que ZeroConf soit un protocole performant, l'administrateur peut ne pas vouloir de ce trafic réseau additionnel. Soyez aussi vigilant, car il est aisé d'usurper un nom mdns //« .local »//. | zeroconf
26 Mot inconnu : ZeroConf => Remarque : Si vous souhaitez utiliser ZeroConf dans un réseau qui ne vous appartient pas, il est préférable de contacter en premier l'administrateur réseau. Bien que ZeroConf soit un protocole performant, l'administrateur peut ne pas vouloir de ce trafic réseau additionnel. Soyez aussi vigilant, car il est aisé d'usurper un nom mdns //« .local »//. | zeroconf
