
5 Mot inconnu : Privoxy => ====== Privoxy ====== | privoxy
7 Mot inconnu : pop-ups => **[[http://www.privoxy.org/|Privoxy]]** est un logiciel de serveur mandataire (//proxy//) pour Internet disposant d'un filtrage avancé pour protéger la vie privée des utilisateurs de votre ordinateur et rendre votre navigation dans Internet plus confortable. Privoxy réalise cela en modifiant les contenus non-sécuritaires des pages Web, en gérant les témoins d'Internet (//cookies//), en contrôlant l'accès en entrée et sortie de votre ordinateur pour empêcher des communications inopportunes avec du contenu non-sécuritaire, et en éliminant les publicités, les bannières incrustées dans les pages ou sous forme de pop-ups. | pop-ups

9 Mot inconnu : Privoxy => Privoxy est auto-configuré dès son installation. C'est un logiciel très flexible qui peut être paramétré pour répondre encore mieux à vos besoins, si la configuration de départ est insuffisante. Ce logiciel est utile autant dans un poste d'ordinateur individuel que dans une structure de réseau multi-systèmes. | privoxy

13 Mot inconnu : Privoxy => ===== Installation et exécution de Privoxy ===== | privoxy

15 Mot inconnu : Privoxy => Privoxy est disponible dans la section //Universe// des dépôts principaux de logiciels. Pour l'installer : | privoxy
15 Mot inconnu : Universe => Privoxy est disponible dans la section //Universe// des dépôts principaux de logiciels. Pour l'installer : | universe

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[apt>privoxy|Installation en un-clic pour toutes versions d'Ubuntu]]** \\ //ou// \\ |    => suggestions : ['']

23 Mot inconnu : Privoxy => Une fois Privoxy installé, vous voudrez configurer votre accès à Internet de manière à ce que toutes les connexions effectuées vers des sites Web soient analysées par Privoxy. Pour ce faire, configurez les propriétés de serveur mandataire d'Ubuntu afin que toutes les connexions à Internet passent par le service Privoxy : | privoxy
23 Mot inconnu : Privoxy => Une fois Privoxy installé, vous voudrez configurer votre accès à Internet de manière à ce que toutes les connexions effectuées vers des sites Web soient analysées par Privoxy. Pour ce faire, configurez les propriétés de serveur mandataire d'Ubuntu afin que toutes les connexions à Internet passent par le service Privoxy : | privoxy
