
5 Mot inconnu : Gobby => ====== Gobby ====== | gobby

6 Mot inconnu : Gobby => La suite Gobby permet l'édition collaborative de documents, Gobby pour l'interface graphique, Sobby pour le serveur et obby est le cœur. Le principe est le suivant : | gobby
6 Mot inconnu : Gobby => La suite Gobby permet l'édition collaborative de documents, Gobby pour l'interface graphique, Sobby pour le serveur et obby est le cœur. Le principe est le suivant : | gobby
6 Mot inconnu : Sobby => La suite Gobby permet l'édition collaborative de documents, Gobby pour l'interface graphique, Sobby pour le serveur et obby est le cœur. Le principe est le suivant : | sobby
6 Mot inconnu : obby => La suite Gobby permet l'édition collaborative de documents, Gobby pour l'interface graphique, Sobby pour le serveur et obby est le cœur. Le principe est le suivant : | obby

10 Mot inconnu : Gobby => ===== L'éditeur Gobby ===== | gobby

27 Mot inconnu : sobby => Mais si vous voulez profiter de la sauvegarde automatique et permettre l'édition par les autres utilisateurs, même si votre ordinateur est éteint, il faut passer par l'intermédiaire d'un serveur sobby qui sauvegardera automatiquement toutes les modifications de chaque utilisateur. | sobby
29 Mot inconnu : gobby => **Astuce** : L'interface de gobby ne vous permet pas de supprimer une page après l'avoir créée. Pour ce faire, il vous suffit de taper /remove nomdelapage dans la fenêtre de chat. Et le tour est joué. | gobby
29 Mot inconnu : remove => **Astuce** : L'interface de gobby ne vous permet pas de supprimer une page après l'avoir créée. Pour ce faire, il vous suffit de taper /remove nomdelapage dans la fenêtre de chat. Et le tour est joué. | remove
29 Mot inconnu : nomdelapage => **Astuce** : L'interface de gobby ne vous permet pas de supprimer une page après l'avoir créée. Pour ce faire, il vous suffit de taper /remove nomdelapage dans la fenêtre de chat. Et le tour est joué. | nomdelapage

32 Mot inconnu : Sobby => ===== Le serveur Sobby ===== | sobby

35 Mot inconnu : Sobby => <note tip>le paquet Sobby n'est plus dans les dépôts depuis Ubuntu 16.04</note> | sobby

39 Mot inconnu : screen => Dans un screen taper sobby --help-all : | screen
39 Mot inconnu : sobby => Dans un screen taper sobby --help-all : | sobby
39 Mot inconnu : help-all => Dans un screen taper sobby --help-all : | help-all
65 Espace(s) en fin de ligne à supprimer. => Je vous conseille :  |   => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 |    => suggestions : ['']
67 Mot inconnu : sobby =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | sobby
67 Il manque un espace à côté du tiret. =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 |  - => suggestions : [' – ', ' — ']
67 Mot inconnu : password =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | password
67 Mot inconnu : un_mot_de_passe =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | un_mot_de_passe
67 Il manque un espace à côté du tiret. =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 |  - => suggestions : [' – ', ' — ']
67 Mot inconnu : autosave-file =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | autosave-file
67 Mot inconnu : gobby =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | gobby
67 Mot inconnu : autosave-interval =>   sobby -p 6522 --password un_mot_de_passe -i --autosave-file=gobby --autosave-interval=10 | autosave-interval

69 Espace(s) surnuméraire(s) à supprimer. => Le port par défaut  sur le client gobby est 6522. Autant laisser ce port, pour ne pas perturber les utilisateurs. |    => suggestions : [' ']
69 Mot inconnu : gobby => Le port par défaut  sur le client gobby est 6522. Autant laisser ce port, pour ne pas perturber les utilisateurs. | gobby

71 Il manque un espace à côté du tiret. => Le -i est important car il vous permettra de voir ce qui se passe sur le serveur. |  - => suggestions : [' – ', ' — ']
71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Le -i est important car il vous permettra de voir ce qui se passe sur le serveur. |  car => suggestions : [', car']

91 Espace(s) surnuméraire(s) à supprimer. => Logiciel très orienté codage mais convient à un travail  de texte en plain text ( latex html ou XML) |    => suggestions : [' ']
91 Mot inconnu : text => Logiciel très orienté codage mais convient à un travail  de texte en plain text ( latex html ou XML) | text
91 Pas d’espace après ce signe. => Logiciel très orienté codage mais convient à un travail  de texte en plain text ( latex html ou XML) | (  => suggestions : ['(']
91 Mot inconnu : html => Logiciel très orienté codage mais convient à un travail  de texte en plain text ( latex html ou XML) | html

92 Mot inconnu : afranchir => Permet de s'afranchir d'un serveur externe (google docs, par exemple) | afranchir

94 Espace(s) surnuméraire(s) à supprimer. => les tests effectués n'ont demandé aucune des  configurations particulières citées ci-dessus.  |    => suggestions : [' ']
94 Espace(s) en fin de ligne à supprimer. => les tests effectués n'ont demandé aucune des  configurations particulières citées ci-dessus.  |   => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note>d'autres tests sont à réaliser</note> |   => suggestions : ['']

100 Mot inconnu : __configuration => __configuration du routeur belgacomTV :__ | __configuration
100 Mot inconnu : belgacomTV => __configuration du routeur belgacomTV :__ | belgacomtv
100 Mot inconnu : __ => __configuration du routeur belgacomTV :__ | __

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - option lan server |    => suggestions : ['']
102 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - option lan server |  -  => suggestions : [' – ', ' — ', ' − ']
102 Mot inconnu : lan =>   - option lan server | lan
102 Mot inconnu : server =>   - option lan server | server

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - name : gobby |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - name : gobby |  -  => suggestions : [' – ', ' — ', ' − ']
103 Mot inconnu : name =>   - name : gobby | name
103 Mot inconnu : gobby =>   - name : gobby | gobby

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - activated: yes |    => suggestions : ['']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - activated: yes |  -  => suggestions : [' – ', ' — ', ' − ']
104 Mot inconnu : activated =>   - activated: yes | activated
104 Mot inconnu : yes =>   - activated: yes | yes

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - protocol: TCP |    => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - protocol: TCP |  -  => suggestions : [' – ', ' — ', ' − ']
105 Mot inconnu : protocol =>   - protocol: TCP | protocol
105 Mot inconnu : TCP =>   - protocol: TCP | tcp

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - public start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |    => suggestions : ['']
106 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - public start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |  -  => suggestions : [' – ', ' — ', ' − ']
106 Mot inconnu : start =>   - public start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | start
106 Mot inconnu : gobby =>   - public start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | gobby

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - public en port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |    => suggestions : ['']
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - public en port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |  -  => suggestions : [' – ', ' — ', ' − ']
107 Mot inconnu : gobby =>   - public en port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | gobby

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lan start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |    => suggestions : ['']
108 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lan start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) |  -  => suggestions : [' – ', ' — ', ' − ']
108 Mot inconnu : Lan =>   - Lan start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | lan
108 Mot inconnu : start =>   - Lan start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | start
108 Mot inconnu : gobby =>   - Lan start port: 6522 (ou un autre port que vous aurez choisi et qui correspondra à votre configuration de gobby) | gobby

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Local IP Address: l'adresse de votre machine locale |    => suggestions : ['']
109 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Local IP Address: l'adresse de votre machine locale |  -  => suggestions : [' – ', ' — ', ' − ']
109 Mot inconnu : Address =>   - Local IP Address: l'adresse de votre machine locale | address

111 Mot inconnu : ip => Ensuite vous devez connaitre l'adresse ip de votre routeur | ip

113 Mot inconnu : Dyndns => Pour palier à cet inconvénient, la bonne méthode semble être d'ouvrir un compte Dyndns sur https://www.dyndns.com/ (voir [[dns_dynamique]] ) | dyndns
113 Mot inconnu : dns_dynamique => Pour palier à cet inconvénient, la bonne méthode semble être d'ouvrir un compte Dyndns sur https://www.dyndns.com/ (voir [[dns_dynamique]] ) | dns_dynamique
113 Pas d’espace avant ce signe. => Pour palier à cet inconvénient, la bonne méthode semble être d'ouvrir un compte Dyndns sur https://www.dyndns.com/ (voir [[dns_dynamique]] ) |  ) => suggestions : [')']

116 Mot inconnu : __ => __ vos collaborateurs doivent alors__**  | __
116 Mot inconnu : alors__ => __ vos collaborateurs doivent alors__**  | alors__
116 Espace(s) en fin de ligne à supprimer. => __ vos collaborateurs doivent alors__**  |   => suggestions : ['']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - "rejoindre une session" |    => suggestions : ['']
118 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - "rejoindre une session" |  -  => suggestions : [' – ', ' — ', ' − ']
118 Guillemets typographiques ouvrants. =>   * - "rejoindre une session" | " => suggestions : ['«\xa0', '“']
118 Guillemets typographiques fermants. =>   * - "rejoindre une session" | " => suggestions : ['\xa0»', '”']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - encoder l'adresse de votre routeur (ou l'adresse dyndns) et un mot de passe que vous leur aurez donné. |    => suggestions : ['']
119 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - encoder l'adresse de votre routeur (ou l'adresse dyndns) et un mot de passe que vous leur aurez donné. |  -  => suggestions : [' – ', ' — ', ' − ']
119 Mot inconnu : dyndns =>   * - encoder l'adresse de votre routeur (ou l'adresse dyndns) et un mot de passe que vous leur aurez donné. | dyndns

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - si vous avez choisi un port différent (non conseillé) vos collaborateurs doivent l'indiquer aussi |    => suggestions : ['']
120 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - si vous avez choisi un port différent (non conseillé) vos collaborateurs doivent l'indiquer aussi |  -  => suggestions : [' – ', ' — ', ' − ']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - Choisir un document dans la liste. |    => suggestions : ['']
121 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - Choisir un document dans la liste. |  -  => suggestions : [' – ', ' — ', ' − ']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - Travailler.:-/ |    => suggestions : ['']
122 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - Travailler.:-/ |  -  => suggestions : [' – ', ' — ', ' − ']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://gobby.github.io/|Site officiel]] |    => suggestions : ['']
132 Il manque un espace. => //Contributeurs : [[utilisateurs:Ju]], [[utilisateurs:phira]].//  | ju => suggestions : [' Ju']
132 Il manque un espace. => //Contributeurs : [[utilisateurs:Ju]], [[utilisateurs:phira]].//  | phira => suggestions : [' phira']
132 Espace(s) en fin de ligne à supprimer. => //Contributeurs : [[utilisateurs:Ju]], [[utilisateurs:phira]].//  |   => suggestions : ['']
