
16 Mot inconnu : frontend [[25:33]] => ==== Interfaces simples (frontend) ===== <|> frontend

18 Mot inconnu : Me-Tv [[18:23]] => <note important>**Me-Tv ne fonctionne pas avec les chaînes de la TNT qui sont en HD**. Or depuis le 5 avril 2016, elles le sont toutes en France métropolitaine. \\ <|> me-tv

29 Mot inconnu : backend [[37:44]] => ==== Serveur de diffusion (streaming backend) ==== <|> backend

34 Mot inconnu : Multimedia [[17:27]] => ==== Plateformes Multimedia (Media Center) ==== <|> multimedia

41 Mot inconnu : Me-Tv [[0:5]] => Me-Tv marche mais son affichage est instable, Pour trouver les chaînes, il est nécessaire d'augmenter la bande du bas (quand la flèche devient double quand on passe la souris dessus) pour retrouver un menu de chaîne, l'applet de Me-Tv qui signalait son fonctionnement ne marche plus sous (gnome-panel), l'enregistrement marche.  <|> me-tv
41 Mot inconnu : Me-Tv [[229:234]] => Me-Tv marche mais son affichage est instable, Pour trouver les chaînes, il est nécessaire d'augmenter la bande du bas (quand la flèche devient double quand on passe la souris dessus) pour retrouver un menu de chaîne, l'applet de Me-Tv qui signalait son fonctionnement ne marche plus sous (gnome-panel), l'enregistrement marche.  <|> me-tv
41 Espace(s) en fin de ligne à supprimer. [[327:328]] => Me-Tv marche mais son affichage est instable, Pour trouver les chaînes, il est nécessaire d'augmenter la bande du bas (quand la flèche devient double quand on passe la souris dessus) pour retrouver un menu de chaîne, l'applet de Me-Tv qui signalait son fonctionnement ne marche plus sous (gnome-panel), l'enregistrement marche.  <|>   => suggestions : None
43 Erreur d’accord probable avec “les”. [[24:29]] => Kaffeine ne détecte pas toute les chaînes par son balayage. (les fichiers de configurations pour Toulouse sont à revoir (depuis le passage à la TNT exclusive. il faudrait envoyer les nouvelles fréquences aux développeur de kaffeine.) <|> toute => suggestions : None
43 Après un point, une majuscule est généralement requise. [[159:161]] => Kaffeine ne détecte pas toute les chaînes par son balayage. (les fichiers de configurations pour Toulouse sont à revoir (depuis le passage à la TNT exclusive. il faudrait envoyer les nouvelles fréquences aux développeur de kaffeine.) <|> il => suggestions : None
43 Accord de nombre erroné : « développeur » est au singulier. [[204:207]] => Kaffeine ne détecte pas toute les chaînes par son balayage. (les fichiers de configurations pour Toulouse sont à revoir (depuis le passage à la TNT exclusive. il faudrait envoyer les nouvelles fréquences aux développeur de kaffeine.) <|> aux => suggestions : None
43 Accord de nombre erroné : « développeur » devrait être au pluriel. [[208:219]] => Kaffeine ne détecte pas toute les chaînes par son balayage. (les fichiers de configurations pour Toulouse sont à revoir (depuis le passage à la TNT exclusive. il faudrait envoyer les nouvelles fréquences aux développeur de kaffeine.) <|> développeur => suggestions : None
45 Mot inconnu : tnt [[65:68]] => VLC marche très bien, je regrette qu'il ne puisse enregistrer la tnt <|> tnt
47 Mot inconnu : gnome-dvb-daemon [[7:23]] => Totem: gnome-dvb-daemon est difficile à configurer, impossible de trouver où sont les fichiers de configurations des chaînes. <|> gnome-dvb-daemon
90 Mot inconnu : Xine [[11:15]] =>   * Pour **Xine** : <|> xine
99 Mot inconnu : Mplayer [[11:18]] =>   * Pour **Mplayer** : <|> mplayer

107 Mot inconnu : timeout [[61:68]] => Pour que w-scan trouve plus de chaînes, on peut augmenter le timeout avec les options **-F -t 3**. <|> timeout

111 Mot inconnu : Sox [[10:13]] => ==== Avec Sox ==== <|> sox

123 Mot inconnu : quelquechose [[18:30]] => Qui vous retourne quelquechose comme ça : <|> quelquechose

142 Mot inconnu : Sox [[25:28]] => Lire ce qui précède pour Sox.  <|> sox
142 Espace(s) en fin de ligne à supprimer. [[29:30]] => Lire ce qui précède pour Sox.  <|>   => suggestions : None

143 Mot inconnu : Sox [[0:3]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> sox
143 Mot inconnu : sox [[116:119]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> sox
143 Espace(s) en fin de ligne à supprimer. [[254:255]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|>   => suggestions : None

147 Il manque un espace à côté du tiret. [[2:4]] => le -I dummy c'est pour cacher l'interface.  <|>  - => suggestions : None
