
5 Mot inconnu : World => ====== World of Warcraft  ====== | world
5 Mot inconnu : of => ====== World of Warcraft  ====== | of
5 Mot inconnu : Warcraft => ====== World of Warcraft  ====== | warcraft
5 Espace(s) surnuméraire(s) à supprimer. => ====== World of Warcraft  ====== |    => suggestions : [' ']

13 Mot inconnu : Wine => <note important>/!\ Blizzard n'autorise pas la combinaison de Wine et d'un clavier avec macro configurable de marque Logitech conformément aux conditions d'utilisation /!\</note>  | wine
13 Mot inconnu : Logitech => <note important>/!\ Blizzard n'autorise pas la combinaison de Wine et d'un clavier avec macro configurable de marque Logitech conformément aux conditions d'utilisation /!\</note>  | logitech
13 Espace(s) en fin de ligne à supprimer. => <note important>/!\ Blizzard n'autorise pas la combinaison de Wine et d'un clavier avec macro configurable de marque Logitech conformément aux conditions d'utilisation /!\</note>  |   => suggestions : ['']

14 Mot inconnu : World => <note>(Une version de World Of Warcraft pour Linux est envisagé par un petit groupe de développeurs blizzardiens, ils attendent la permission des autorités divines. Aiguilar, protège-nous !)<note important> Blizzard aurait contesté cette info lors de divers posts sur des sujets traitants l'info. (intox ?) </note></note> | world
14 Mot inconnu : Of => <note>(Une version de World Of Warcraft pour Linux est envisagé par un petit groupe de développeurs blizzardiens, ils attendent la permission des autorités divines. Aiguilar, protège-nous !)<note important> Blizzard aurait contesté cette info lors de divers posts sur des sujets traitants l'info. (intox ?) </note></note> | of
14 Mot inconnu : Warcraft => <note>(Une version de World Of Warcraft pour Linux est envisagé par un petit groupe de développeurs blizzardiens, ils attendent la permission des autorités divines. Aiguilar, protège-nous !)<note important> Blizzard aurait contesté cette info lors de divers posts sur des sujets traitants l'info. (intox ?) </note></note> | warcraft
14 Mot inconnu : blizzardiens => <note>(Une version de World Of Warcraft pour Linux est envisagé par un petit groupe de développeurs blizzardiens, ils attendent la permission des autorités divines. Aiguilar, protège-nous !)<note important> Blizzard aurait contesté cette info lors de divers posts sur des sujets traitants l'info. (intox ?) </note></note> | blizzardiens
14 Mot inconnu : Aiguilar => <note>(Une version de World Of Warcraft pour Linux est envisagé par un petit groupe de développeurs blizzardiens, ils attendent la permission des autorités divines. Aiguilar, protège-nous !)<note important> Blizzard aurait contesté cette info lors de divers posts sur des sujets traitants l'info. (intox ?) </note></note> | aiguilar

30 Mot inconnu : World => Ces étapes vous permettront d'installer pas à pas World of Warcraft (et ses extensions) sur votre ordinateur. | world
30 Mot inconnu : of => Ces étapes vous permettront d'installer pas à pas World of Warcraft (et ses extensions) sur votre ordinateur. | of
30 Mot inconnu : Warcraft => Ces étapes vous permettront d'installer pas à pas World of Warcraft (et ses extensions) sur votre ordinateur. | warcraft

32 Mot inconnu : Play => ====Via Play On Linux ==== | play
32 Incohérence avec “On” : “Linux” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => ====Via Play On Linux ==== | linux => suggestions : []

38 Mot inconnu : Wine => ====Via Wine ==== | wine

41 Mot inconnu : Wine => Il n'est plus d'actualité de patcher Wine pour que WoW fonctionne. De plus, la version 0.9.34 simplifie grandement les choses ((Source : [[https://help.ubuntu.com/community/WorldofWarcraft#head-b0e3758f63e95125f2aad3ef50efcec48df67b00|Wiki officiel anglophone]])) ! | wine
41 Mot inconnu : WoW => Il n'est plus d'actualité de patcher Wine pour que WoW fonctionne. De plus, la version 0.9.34 simplifie grandement les choses ((Source : [[https://help.ubuntu.com/community/WorldofWarcraft#head-b0e3758f63e95125f2aad3ef50efcec48df67b00|Wiki officiel anglophone]])) ! | wow

43 Mot inconnu : World => Pour installer World of Warcraft via Wine il est désormais obligé de passer par Battle.net ! | world
43 Mot inconnu : of => Pour installer World of Warcraft via Wine il est désormais obligé de passer par Battle.net ! | of
43 Mot inconnu : Warcraft => Pour installer World of Warcraft via Wine il est désormais obligé de passer par Battle.net ! | warcraft
43 Mot inconnu : Wine => Pour installer World of Warcraft via Wine il est désormais obligé de passer par Battle.net ! | wine
43 Mot inconnu : Battle => Pour installer World of Warcraft via Wine il est désormais obligé de passer par Battle.net ! | battle

50 Mot inconnu : wtf => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | wtf
