
26 Mot inconnu : KDE => Sous KDE :  | kde
26 Espace(s) en fin de ligne à supprimer. => Sous KDE :  |   => suggestions : ['']

28 Mot inconnu : Kconfig => Lancer Kconfig -> rubrique Matériel -> sous rubrique Périphérique d'entrée -> Clavier | kconfig

31 Guillemets typographiques ouvrants. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  | " => suggestions : ['\xa0»', '”']
31 Guillemets typographiques ouvrants. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  | " => suggestions : ['«\xa0', '“']
31 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  | français => suggestions : ['français']
31 Guillemets typographiques fermants. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  | " => suggestions : ['\xa0»', '”']
31 Espace(s) en fin de ligne à supprimer. => Dans l'onglet disposition, cochez la case "configuration des dispositions" et ajouter ou sélectionner la disposition "Français"  |   => suggestions : ['']

35 Mot inconnu : FIXME => FIXME partie vétuste peu claire | fixme

41 Mot inconnu : NB => <note tip>NB: Le rectangle baré d'une croix en haut à gauche du pavé numérique sert à le **verrouiller** en appuyant une fois dessus. Pour le débloquer, Appuyer sur Ctrl + cette même touche.</note> | nb
41 Mot inconnu : baré => <note tip>NB: Le rectangle baré d'une croix en haut à gauche du pavé numérique sert à le **verrouiller** en appuyant une fois dessus. Pour le débloquer, Appuyer sur Ctrl + cette même touche.</note> | baré

43 Mot inconnu : alt => Pour dépanner, sachez que d'origine le raccourci clavier sur votre clavier plat Apple pour @ est alt+à | alt

77 Mot inconnu : xkm => Aller voir dans **/var/lib/xkb** et supprimer les fichiers *.xkm s'ils existent. | xkm

81 Conjugaison erronée. Accord avec “Ouvrir”. Le verbe devrait être à la 3ᵉ personne du singulier. => Ouvrir Paramètres -> Saisie de texte et ajouter un nouveau clavier dans la liste. | paramètres => suggestions : ['Paramètre']

82 Guillemets typographiques ouvrants. => Vous devriez avoir un clavier "Français (Mac clavier Apple extra-plat)". Ajoutez-le et sélectionnez-le comme clavier actuel. | " => suggestions : ['«\xa0', '“']
82 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Vous devriez avoir un clavier "Français (Mac clavier Apple extra-plat)". Ajoutez-le et sélectionnez-le comme clavier actuel. | français => suggestions : ['français']

86 Mot inconnu : Xmodmap => === Solution Xmodmap === | xmodmap

88 Guillemets typographiques ouvrants. => Il est indiqué que l'on peut intervenir sur le fameux fichier "xmodmap". | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : xmodmap => Il est indiqué que l'on peut intervenir sur le fameux fichier "xmodmap". | xmodmap
88 Guillemets typographiques fermants. => Il est indiqué que l'on peut intervenir sur le fameux fichier "xmodmap". | " => suggestions : ['\xa0»', '”']

89 Ce déterminant est soudé. => Faite une recherche du dit fichier. Il y a de fortes chances qu'il se trouve être dans ce dossier là : /usr/share/bash-completion/completions | du dit => suggestions : ['dudit']
89 Il manque probablement un trait d’union. => Faite une recherche du dit fichier. Il y a de fortes chances qu'il se trouve être dans ce dossier là : /usr/share/bash-completion/completions | dossier là => suggestions : ['dossier-là']
92 Guillemets typographiques ouvrants. => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | ' => suggestions : ['“', '‘', '‹']
92 Mot inconnu : keycode => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | keycode
92 Mot inconnu : at => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | at
92 Mot inconnu : numbersign => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | numbersign
92 Guillemets typographiques fermants. => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | ' => suggestions : ['”', '’', '›']
92 Guillemets typographiques ouvrants. => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | ' => suggestions : ['“', '‘', '‹']
92 Mot inconnu : keycode => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | keycode
92 Mot inconnu : less => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | less
92 Mot inconnu : greater => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | greater
92 Mot inconnu : less => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | less
92 Mot inconnu : greater => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | greater
92 Mot inconnu : less => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | less
92 Mot inconnu : greater => Et rajouter la ligne de commande piquée précédemment : <file>-e 'keycode 94=at numbersign' -e 'keycode 49=less greater less greater less greater'</file> | greater

97 Typographie des composés chimiques. => ==== Touches F1, F2... ==== | f2 => suggestions : ['F₂']
97 Mot inconnu : F2 => ==== Touches F1, F2... ==== | f2
97 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Touches F1, F2... ==== | ... => suggestions : ['…']

100 Mot inconnu : echo => echo 2 > /sys/module/hid_apple/parameters/fnmode | echo
100 Mot inconnu : sys => echo 2 > /sys/module/hid_apple/parameters/fnmode | sys
100 Mot inconnu : hid_apple => echo 2 > /sys/module/hid_apple/parameters/fnmode | hid_apple
100 Mot inconnu : parameters => echo 2 > /sys/module/hid_apple/parameters/fnmode | parameters
100 Mot inconnu : fnmode => echo 2 > /sys/module/hid_apple/parameters/fnmode | fnmode

107 Il manque un espace. => Se reporter à la page [[tutoriel:creer_et_utiliser_un_agencement_de_clavier_personnalise|Créer et utiliser un agencement de clavier personnalisé]]. | creer_et_utiliser_un_agencement_de_clavier_personnalise => suggestions : [' creer_et_utiliser_un_agencement_de_clavier_personnalise']
107 Mot inconnu : creer_et_utiliser_un_agencement_de_clavier_personnalise => Se reporter à la page [[tutoriel:creer_et_utiliser_un_agencement_de_clavier_personnalise|Créer et utiliser un agencement de clavier personnalisé]]. | creer_et_utiliser_un_agencement_de_clavier_personnalise

109 Mot inconnu : F10 => On peut par exemple choisir //Maj + F10// pour couper le son etc... | f10
109 Avant « etc. », il faut mettre une virgule. => On peut par exemple choisir //Maj + F10// pour couper le son etc... |  etc. => suggestions : [', etc.']
109 Un seul point après « etc. » => On peut par exemple choisir //Maj + F10// pour couper le son etc... | etc... => suggestions : ['etc.']

111 Mot inconnu : F12 => La touche de raccourci pour l'**éjection des disques** (à droite de F12) fonctionne en général sans rajouter de raccourci. | f12

116 Mot inconnu : Karmic => <note>Testé sous Ubuntu 9.10 Karmic Koala.</note> | karmic
118 Espace(s) en fin de ligne à supprimer. => En fonction de votre choix :  |   => suggestions : ['']

141 Mot inconnu : Enregitrer => 3. Enregitrer le fichier (CTRL+o et CTRL+x) et exécutez cette commande : | enregitrer

148 Mot inconnu : Cmd => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== | cmd
148 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
148 Mot inconnu : Cmd => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== | cmd

150 Mot inconnu : Editer => 1. Editer l'extension X Keyboard | editer
150 Mot inconnu : Keyboard => 1. Editer l'extension X Keyboard | keyboard

161 Mot inconnu : xkb => 3. Supprimer le cache de xkb | xkb

172 Mot inconnu : Editeur => Faites des essais dans //Applications -> Editeur de texte// par exemple pour voir si tout fonctionne. | editeur

