
5 Mot inconnu : ENT [[7:10]] => ====== ENT - GEPI (gestion scolaire) ====== <|> ent
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[10:13]] => ====== ENT - GEPI (gestion scolaire) ====== <|>  -  => suggestions : [' – ', ' — ', ' − ']
5 Mot inconnu : GEPI [[13:17]] => ====== ENT - GEPI (gestion scolaire) ====== <|> gepi

15 Guillemets typographiques ouvrants. [[191:192]] => Le logiciel est en constante amélioration, pour apporter à l'établissement scolaire des outils simples et utiles. Une interface d'administration est accessible, permettant d'avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : online [[192:198]] => Le logiciel est en constante amélioration, pour apporter à l'établissement scolaire des outils simples et utiles. Une interface d'administration est accessible, permettant d'avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> online
15 Guillemets typographiques fermants. [[198:199]] => Le logiciel est en constante amélioration, pour apporter à l'établissement scolaire des outils simples et utiles. Une interface d'administration est accessible, permettant d'avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> " => suggestions : ['\xa0»', '”']
15 Une de ces ponctuations est superflue. [[251:254]] => Le logiciel est en constante amélioration, pour apporter à l'établissement scolaire des outils simples et utiles. Une interface d'administration est accessible, permettant d'avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> , . => suggestions : [',', '.']
15 Typographie : points de suspension. Utilisez le caractère dédié. [[253:256]] => Le logiciel est en constante amélioration, pour apporter à l'établissement scolaire des outils simples et utiles. Une interface d'administration est accessible, permettant d'avoir un support "online", pour les problèmes éventuels, améliorations, forum, ... <|> ... => suggestions : ['…']

17 Mot inconnu : GEPI [[250:254]] => Précisons enfin que ce programme est lié à des offres commerciales par exemple autour de la formation, la maintenance, l'installation ou l'hébergement pour les établissements qui le souhaiteraient, mais ceci ne constitue qu'une offre complémentaire. GEPI est bel et bien libre et gratuite, très bien supporté par une communauté active. <|> gepi
23 Mot inconnu : GEPI [[39:43]] => FIXME : Indiquer ici comment installer GEPI sous Ubuntu. <|> gepi

24 Mot inconnu : DELETEME [[46:54]] => <note important><note warning>important</note>DELETEME</note> <|> deleteme
27 Mot inconnu : GEPI [[55:59]] => FIXME : Indiquer ici comment configurer spécifiquement GEPI sous Ubuntu. <|> gepi

31 Mot inconnu : Gepi [[31:35]] => **Liste des fonctionnalités de Gepi** <|> gepi
