
4 Mot inconnu : Flare => ====== Flare ====== | flare

6 Mot inconnu : OSARE => Anciennement OSARE, Flare est un jeu de rôle d'action. Il est écrit en C++ avec SDL et fonctionne sur Windows, OSX et Linux. Il est distribué sous la licence GPL (version 2.0 ou ultérieure) et CC-BY-SA (3.0 ou version ultérieure). | osare
6 Mot inconnu : Flare => Anciennement OSARE, Flare est un jeu de rôle d'action. Il est écrit en C++ avec SDL et fonctionne sur Windows, OSX et Linux. Il est distribué sous la licence GPL (version 2.0 ou ultérieure) et CC-BY-SA (3.0 ou version ultérieure). | flare
6 Mot inconnu : SDL => Anciennement OSARE, Flare est un jeu de rôle d'action. Il est écrit en C++ avec SDL et fonctionne sur Windows, OSX et Linux. Il est distribué sous la licence GPL (version 2.0 ou ultérieure) et CC-BY-SA (3.0 ou version ultérieure). | sdl
6 Mot inconnu : OSX => Anciennement OSARE, Flare est un jeu de rôle d'action. Il est écrit en C++ avec SDL et fonctionne sur Windows, OSX et Linux. Il est distribué sous la licence GPL (version 2.0 ou ultérieure) et CC-BY-SA (3.0 ou version ultérieure). | osx

12 Mot inconnu : Flare => Flare est avant tout: | flare

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un classique jeu de rôle fantastique d'action en 2D isométrique |    => suggestions : ['']
14 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. =>   * Un classique jeu de rôle fantastique d'action en 2D isométrique | 2d => suggestions : ['2ᵈ']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un ensemble simple de système de règles |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un jeu dont les graphismes, l'histoire et les maps sont personnalisables dans des fichiers humainement lisibles |    => suggestions : ['']
16 Mot inconnu : maps =>   * Un jeu dont les graphismes, l'histoire et les maps sont personnalisables dans des fichiers humainement lisibles | maps

18 Mot inconnu : Flare => Flare n'est pas: | flare

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suffisamment flexible pour permettre de construire tout type de jeu isométrique |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un générateur de donjon aléatoire |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Multijoueur |    => suggestions : ['']

24 Mot inconnu : Flare => Flare utilise les attributs de base suivants pour les personnages: //Physique, Magiques, Offensifs, Défensifs//. Ils s'échelonnent de 1 à 5. Ces attributs se combinent pour former un archétype classique de jeux de rôle: | flare

28 Mot inconnu : layouts => Le projet est en plein développement, et le travail de grande qualité, que ce soit les animations, les layouts, ou la musique. Si le projet ne se revendique pas comme étant un Diablo-like, l'auteur, incontestablement en est fan, et le jeu se trouve à cheval, qualitativement parlant, entre les deux épisodes mythiques - I et le II. L'ambiance est parfaitement retranscrite. | layouts
28 Mot inconnu : Diablo-like => Le projet est en plein développement, et le travail de grande qualité, que ce soit les animations, les layouts, ou la musique. Si le projet ne se revendique pas comme étant un Diablo-like, l'auteur, incontestablement en est fan, et le jeu se trouve à cheval, qualitativement parlant, entre les deux épisodes mythiques - I et le II. L'ambiance est parfaitement retranscrite. | diablo-like
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Le projet est en plein développement, et le travail de grande qualité, que ce soit les animations, les layouts, ou la musique. Si le projet ne se revendique pas comme étant un Diablo-like, l'auteur, incontestablement en est fan, et le jeu se trouve à cheval, qualitativement parlant, entre les deux épisodes mythiques - I et le II. L'ambiance est parfaitement retranscrite. |  -  => suggestions : [' – ', ' — ', ' − ']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => (note: s'il n'y a pas de mods, lancez avec l'option ** - -game=flare-game**) |  -  => suggestions : [' – ', ' — ', ' − ']
45 Mot inconnu : game => (note: s'il n'y a pas de mods, lancez avec l'option ** - -game=flare-game**) | game
45 Mot inconnu : flare-game => (note: s'il n'y a pas de mods, lancez avec l'option ** - -game=flare-game**) | flare-game

49 Mot inconnu : fullscreen => fullscreen=0 | fullscreen

50 Mot inconnu : resolution_w => resolution_w=1440 | resolution_w

51 Mot inconnu : resolution_h => resolution_h=960 | resolution_h

52 Mot inconnu : music_volume => music_volume=96 | music_volume

53 Mot inconnu : sound_volume => sound_volume=128 | sound_volume

54 Mot inconnu : mouse_move => mouse_move=0 | mouse_move

55 Mot inconnu : hwsurface => hwsurface=1 | hwsurface

56 Mot inconnu : doublebuf => doublebuf=1 | doublebuf

57 Mot inconnu : frames_per_sec => frames_per_sec=30 | frames_per_sec

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://clintbellanger.net/rpg/|Site officiel]] Toutes les infos concernant les mécanismes du jeu, les conceptualisations artistiques, les ressources développeurs, ainsi qu'un outil de simulation de construction de personnages hors jeu. |    => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://clintbellanger.net|Fondateur du projet]] Le prolifique Clint Bellanger. |    => suggestions : ['']
