
5 Mot inconnu : Scrcpy => ====== Scrcpy ====== | scrcpy

6 Mot inconnu : Scrcpy => **Scrcpy** (screen copy) est un logiciel libre / open source permettant d'utiliser ou de cloner l'affichage de son smartphone Android sur son ordinateur. Il a également des versions pour MacOS et Windows.  | scrcpy
6 Mot inconnu : screen => **Scrcpy** (screen copy) est un logiciel libre / open source permettant d'utiliser ou de cloner l'affichage de son smartphone Android sur son ordinateur. Il a également des versions pour MacOS et Windows.  | screen
6 Mot inconnu : copy => **Scrcpy** (screen copy) est un logiciel libre / open source permettant d'utiliser ou de cloner l'affichage de son smartphone Android sur son ordinateur. Il a également des versions pour MacOS et Windows.  | copy
6 Mot inconnu : MacOS => **Scrcpy** (screen copy) est un logiciel libre / open source permettant d'utiliser ou de cloner l'affichage de son smartphone Android sur son ordinateur. Il a également des versions pour MacOS et Windows.  | macos
6 Espace(s) en fin de ligne à supprimer. => **Scrcpy** (screen copy) est un logiciel libre / open source permettant d'utiliser ou de cloner l'affichage de son smartphone Android sur son ordinateur. Il a également des versions pour MacOS et Windows.  |   => suggestions : ['']

20 Mot inconnu : ADB => <note important>Pensez à activer sur votre téléphone le **débogage USB** (mode développeur / ADB) sinon **Scrcpy** ne fonctionnera pas :\\ | adb
20 Mot inconnu : Scrcpy => <note important>Pensez à activer sur votre téléphone le **débogage USB** (mode développeur / ADB) sinon **Scrcpy** ne fonctionnera pas :\\ | scrcpy

21 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Sur votre téléphone : Paramètres > Système > "À propos du téléphone" > Tapoter **7 fois** sur le « numéro de build » => Le menu « options pour développeurs » apparaît dans les paramètres système.\\ | -  => suggestions : ['—\xa0', '–\xa0']
21 Guillemets typographiques ouvrants. => - Sur votre téléphone : Paramètres > Système > "À propos du téléphone" > Tapoter **7 fois** sur le « numéro de build » => Le menu « options pour développeurs » apparaît dans les paramètres système.\\ | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => - Sur votre téléphone : Paramètres > Système > "À propos du téléphone" > Tapoter **7 fois** sur le « numéro de build » => Le menu « options pour développeurs » apparaît dans les paramètres système.\\ | " => suggestions : ['\xa0»', '”']

22 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Aller dans Paramètres > Système > « options pour développeurs » > activer "**débogage USB**". | -  => suggestions : ['—\xa0', '–\xa0']

28 Il manque un espace à côté du tiret. => 1- le téléphone doit être actif, comme pour une utilisation normale. L'écran doit donc être déverrouillé de la façon habituelle (code PIN, empreinte digitale, ...).  | -  => suggestions : [' – ', ' — ']
28 Une de ces ponctuations est superflue. => 1- le téléphone doit être actif, comme pour une utilisation normale. L'écran doit donc être déverrouillé de la façon habituelle (code PIN, empreinte digitale, ...).  | , . => suggestions : [',', '.']
28 Typographie : points de suspension. Utilisez le caractère dédié. => 1- le téléphone doit être actif, comme pour une utilisation normale. L'écran doit donc être déverrouillé de la façon habituelle (code PIN, empreinte digitale, ...).  | ... => suggestions : ['…']
28 Espace(s) en fin de ligne à supprimer. => 1- le téléphone doit être actif, comme pour une utilisation normale. L'écran doit donc être déverrouillé de la façon habituelle (code PIN, empreinte digitale, ...).  |   => suggestions : ['']

30 Il manque un espace à côté du tiret. => 2- Reliez le téléphone au PC par un câble USB (pour une connexion sans câble, voir plus loin). | -  => suggestions : [' – ', ' — ']

32 Il manque un espace à côté du tiret. => 3- Vérifiez que le débogage USB est bien actif côté téléphone. | -  => suggestions : [' – ', ' — ']

34 Il manque un espace à côté du tiret. => 4- Lancez le logiciel (en tapant **scrcpy** ou mieux **scrcpy -w -S**) au terminal, ou en cliquant sur un [[raccourci-lanceur|lanceur]] que vous aurez créé. | -  => suggestions : [' – ', ' — ']
34 Mot inconnu : scrcpy => 4- Lancez le logiciel (en tapant **scrcpy** ou mieux **scrcpy -w -S**) au terminal, ou en cliquant sur un [[raccourci-lanceur|lanceur]] que vous aurez créé. | scrcpy
34 Mot inconnu : scrcpy => 4- Lancez le logiciel (en tapant **scrcpy** ou mieux **scrcpy -w -S**) au terminal, ou en cliquant sur un [[raccourci-lanceur|lanceur]] que vous aurez créé. | scrcpy
34 Il manque un espace à côté du tiret. => 4- Lancez le logiciel (en tapant **scrcpy** ou mieux **scrcpy -w -S**) au terminal, ou en cliquant sur un [[raccourci-lanceur|lanceur]] que vous aurez créé. |  - => suggestions : [' – ', ' — ']
44 Mot inconnu : ctrle => Pour revenir à l'écran en fermant une application : cliquer sur les flèches arrières, ou plus rapidement sur **ctrle + molette**. | ctrle

46 Mot inconnu : scrcpy => Pour fermer **scrcpy** : clic sur le bouton de fermeture de sa fenêtre. | scrcpy

50 Mot inconnu : faires => La vidéo est déportée d'Android vers le PC comme les autres affichages. Vous pouvez même faires des vidéo-conférences. Mais le son reste lui (entrée ou sortie) sur le smartphone. Ce n'est normalement pas très gênant, mais si vous souhaitez également que le son passe du téléphone au PC, vous pouvez utiliser un plugin à scrcpy, qui s'appelle [[https://github.com/rom1v/sndcpy|sndcpy]] (le plugin n'est pas dans les dépôts, en tout cas jusqu'à Ubuntu 22.04). | faires
50 Mot inconnu : scrcpy => La vidéo est déportée d'Android vers le PC comme les autres affichages. Vous pouvez même faires des vidéo-conférences. Mais le son reste lui (entrée ou sortie) sur le smartphone. Ce n'est normalement pas très gênant, mais si vous souhaitez également que le son passe du téléphone au PC, vous pouvez utiliser un plugin à scrcpy, qui s'appelle [[https://github.com/rom1v/sndcpy|sndcpy]] (le plugin n'est pas dans les dépôts, en tout cas jusqu'à Ubuntu 22.04). | scrcpy

63 Espace(s) en fin de ligne à supprimer. => Si lors d'un lancement du logiciel vous avez un message d'erreur au terminal du genre  |   => suggestions : ['']

