
5 Mot inconnu : Inspiron => ====== Dell Inspiron 9400 ====== | inspiron

7 Mot inconnu : Centrino => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | centrino
7 Mot inconnu : T7200 => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | t7200
7 Mot inconnu : ipw3945 => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | ipw3945
7 Mot inconnu : ATI => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | ati
7 Mot inconnu : X1400 => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | x1400
7 Mot inconnu : Mobility => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | mobility
7 Mot inconnu : GeForce => Cet ordinateur portable distribué par Dell courant 2007 existe en plusieurs déclinaisons. Elles sont toutes basées sur la plateforme Centrino Duo (processeur T7200 et carte wifi ipw3945) mais la différence se situe au niveau de la carte graphique. Selon les modèles, on trouve de l'ATI X1400 Mobility ou de la GeForce 7900GS. | geforce

13 Mot inconnu : ATI => == ATI X1400 Mobility == | ati
