
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
5 Mot inconnu : fstab => ====== mount et fstab : Le montage des systèmes de fichiers ====== | fstab

7 Accord de genre erroné : « clé » est féminin. => Quand un clé USB est connectée, elle est normalement montée automatiquement. Idem pour la partition qu'on vient de démarrer et qui porte votre OS. Par contre, les autres partitions du disque ne seront pas montées automatiquement. | un => suggestions : ['une']

18 Incohérence avec « ne » : « faite » devrait être un verbe. => Compte tenu des risques, ne faite rien que vous n'ayez pas bien compris.</note> | faite => suggestions : ['fait', 'fais', 'fête', 'fis', 'fit', 'fêtent', 'fêtes', 'faites']

27 Mot inconnu : sdb1 => C'est une partition que l'on monte (sdb1, par exemple), JAMAIS un disque (sdb, par exemple) : cela ne fonctionne pas. | sdb1
27 Mot inconnu : sdb => C'est une partition que l'on monte (sdb1, par exemple), JAMAIS un disque (sdb, par exemple) : cela ne fonctionne pas. | sdb

54 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']

55 Mot inconnu : usb => Vous pouvez alors lire la liste des périphériques de stockage (disques dur, clés usb,…) avec la liste des partitions et leur taille. | usb
55 Typographie : pas de virgule avant les points de suspension. => Vous pouvez alors lire la liste des périphériques de stockage (disques dur, clés usb,…) avec la liste des partitions et leur taille. | ,… => suggestions : ['…']

57 Mot inconnu : UUIDs => ==== Note sur les UUIDs ==== | uuids

60 Mot inconnu : UUIDs => Pour obtenir les UUIDs de vos partitions, tapez  | uuids
60 Espace(s) en fin de ligne à supprimer. => Pour obtenir les UUIDs de vos partitions, tapez  |   => suggestions : ['']

62 Mot inconnu : UUID => Vous obtiendrez la liste de vos partitions et pour chacune, son chemin d'accès, son UUID, son étiquette, le type de système de fichier qu'elle contient : | uuid

78 Mot inconnu : sda4 => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | sda4
78 Mot inconnu : ext4 => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | ext4
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |     => suggestions : [' ']
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |         => suggestions : [' ']
78 Mot inconnu : ca07415a-2704-497f-8091-1d9a4a58f3d0 => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | ca07415a-2704-497f-8091-1d9a4a58f3d0
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |    => suggestions : [' ']
