
5 Mot inconnu : xfce4-terminal [[7:21]] => ====== xfce4-terminal ====== <|> xfce4-terminal

26 Mot inconnu : xfterm4 [[16:23]] => Pour configurer xfterm4 via une interface graphique, vous pouvez soit aller dans //Éditer -> Préférences// soit en cliquant droit sur le terminal puis sur //Préférences//. <|> xfterm4

28 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. [[27:36]] => La fenêtre des préférences comportes 5 parties : <|> comportes => suggestions : ['comporte']

38 Mot inconnu : xfterm4 [[28:35]] => Si vous préférez configurer xfterm4 via son fichier de configuration, ce dernier se trouve à **~/.config/terminal/terminalrc** <|> xfterm4
38 Mot inconnu : terminalrc [[114:124]] => Si vous préférez configurer xfterm4 via son fichier de configuration, ce dernier se trouve à **~/.config/terminal/terminalrc** <|> terminalrc

51 Accord avec la forme verbale “peuvent” : “modifié” devrait être au pluriel. [[18:25]] => peuvent tous être modifié mais voici les principaux par défaut : <|> modifié => suggestions : ['modifiés']

53 Mot inconnu : ctrl [[0:4]] => ctrl shift c <|> ctrl
53 Mot inconnu : shift [[5:10]] => ctrl shift c <|> shift

54 Mot inconnu : ctrl [[0:4]] => ctrl shift v <|> ctrl
54 Mot inconnu : shift [[5:10]] => ctrl shift v <|> shift

56 Mot inconnu : ctrl [[0:4]] => ctrl shift t <|> ctrl
56 Mot inconnu : shift [[5:10]] => ctrl shift t <|> shift

57 Mot inconnu : ctrl [[0:4]] => ctrl shift w <|> ctrl
57 Mot inconnu : shift [[5:10]] => ctrl shift w <|> shift

59 Mot inconnu : ctrl [[0:4]] => ctrl shift pgdown <|> ctrl
59 Mot inconnu : shift [[5:10]] => ctrl shift pgdown <|> shift
59 Mot inconnu : pgdown [[11:17]] => ctrl shift pgdown <|> pgdown

60 Mot inconnu : ctrl [[0:4]] => ctrl shift pgup <|> ctrl
60 Mot inconnu : shift [[5:10]] => ctrl shift pgup <|> shift
60 Mot inconnu : pgup [[11:15]] => ctrl shift pgup <|> pgup

62 Mot inconnu : F11 [[0:3]] => F11 <|> f11

65 Mot inconnu : Drop-down [[5:14]] => ==== Drop-down ==== <|> drop-down
