
5 Mot inconnu : libNMEAParser => ====== libNMEAParser ====== | libnmeaparser

7 Mot inconnu : libNMEAParser => La bibliothèque libNMEAParser permet à tout utilisateur de lire les trames NMEA 0183 et de récupérer les informations qu'elles contiennent. | libnmeaparser
7 Mot inconnu : NMEA => La bibliothèque libNMEAParser permet à tout utilisateur de lire les trames NMEA 0183 et de récupérer les informations qu'elles contiennent. | nmea

11 Mot inconnu : libNMEAParser => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | libnmeaparser
11 Mot inconnu : libNMEAParser-dev => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | libnmeaparser-dev
11 Mot inconnu : x86 => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | x86
11 Mot inconnu : x86_64 => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | x86_64
11 Mot inconnu : LPIA => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | lpia
11 Mot inconnu : Gutsy => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | gutsy
11 Mot inconnu : dépot => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | dépot
11 Mot inconnu : Spomky => libNMEAParser et libNMEAParser-dev sont disponibles sous forme de paquets binaires x86, x86_64 et LPIA pour Gutsy Gibbon sur le dépot de Spomky. | spomky

17 Mot inconnu : libc => Cette bibliothèque ne nécessite aucun autre logiciel pour fonctionner hormis libc. | libc

33 Mot inconnu : libnmeaparser => Désinstallez simplement le paquet libnmeaparser ou libnmeaparser-dev. | libnmeaparser
33 Mot inconnu : libnmeaparser-dev => Désinstallez simplement le paquet libnmeaparser ou libnmeaparser-dev. | libnmeaparser-dev

40 Mot inconnu : libnmeaparser-dev => Une fois libnmeaparser-dev ou les sources installée, vous disposerez de la bibliothèque en elle-même mais aussi des en-têtes. | libnmeaparser-dev
40 Accord de nombre erroné avec « les sources » : « installée » devrait être au pluriel. => Une fois libnmeaparser-dev ou les sources installée, vous disposerez de la bibliothèque en elle-même mais aussi des en-têtes. | installée => suggestions : ['installées']

42 Mot inconnu : LibNMEAParser => LibNMEAParser se présente sous forme d'une série d'objets C++ nommés NMEAParser_xxx où xxx représente l'identifiant de la trame. | libnmeaparser
42 Mot inconnu : NMEAParser_xxx => LibNMEAParser se présente sous forme d'une série d'objets C++ nommés NMEAParser_xxx où xxx représente l'identifiant de la trame. | nmeaparser_xxx
42 Mot inconnu : xxx => LibNMEAParser se présente sous forme d'une série d'objets C++ nommés NMEAParser_xxx où xxx représente l'identifiant de la trame. | xxx

43 Mot inconnu : GSV => Par exemple une trame GSV (identification et positionnement des satellites en vue) sera analysées par l'objet NMEAParser_GSV. | gsv
43 Mot inconnu : NMEAParser_GSV => Par exemple une trame GSV (identification et positionnement des satellites en vue) sera analysées par l'objet NMEAParser_GSV. | nmeaparser_gsv

47 Mot inconnu : NMEAParser_xxx => === NMEAParser_xxx( const std::string sentence ) === | nmeaparser_xxx
47 Pas d’espace après ce signe. => === NMEAParser_xxx( const std::string sentence ) === | (  => suggestions : ['(']
47 Mot inconnu : const => === NMEAParser_xxx( const std::string sentence ) === | const
47 Mot inconnu : std => === NMEAParser_xxx( const std::string sentence ) === | std
47 Une de ces ponctuations est superflue. => === NMEAParser_xxx( const std::string sentence ) === | :: => suggestions : [':', ':']
47 Pas d’espace avant ce signe. => === NMEAParser_xxx( const std::string sentence ) === |  ) => suggestions : [')']

49 Mot inconnu : RMC => Par exemple pour construire un objet et analyser une trame RMC vous pouvez procéder ainsi : | rmc

51 Mot inconnu : suffiet => Pour connaitre le statut de l'analyse, il vous suffiet de récupérer la valeur suivante : | suffiet

53 Confusion probable : “est” une forme conjuguée du verbe “être”. Pour la conjonction de coordination, écrivez “et”. => Le type STATUS est ses énumérations sont définis dans le fichier NMEAParser.h | est => suggestions : ['et']
53 Mot inconnu : NMEAParser => Le type STATUS est ses énumérations sont définis dans le fichier NMEAParser.h | nmeaparser

56 Pas d’espace après ce signe. => === STATUS parse( std::string sentence ) === | (  => suggestions : ['(']
