
5 Mot inconnu : Gmencoder => ====== Gmencoder ====== | gmencoder

8 Mot inconnu : Gmencoder => Gmencoder est une application qui dote d'une interface graphique l'encodeur en ligne de commande [[mencoder]]. | gmencoder
8 Mot inconnu : mencoder => Gmencoder est une application qui dote d'une interface graphique l'encodeur en ligne de commande [[mencoder]]. | mencoder

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

11 Mot inconnu : Mencoder => Mencoder est développé de concert avec Mplayer et permet de convertir et d'encoder des fichiers vidéos dans un grand nombre de format. | mencoder
11 Mot inconnu : Mplayer => Mencoder est développé de concert avec Mplayer et permet de convertir et d'encoder des fichiers vidéos dans un grand nombre de format. | mplayer

13 Mot inconnu : Gmencoder => <note>Gmencoder n'est plus mis à jour depuis 2003, il ne supporte donc aucun des meilleurs codecs de notre époque ... Mais fonctionne tout de même. Si vous n'êtes pas satisfait regardez plutôt du côté d'[[Avidemux]] pour le transcodage ou d'[[Handbrake]] pour le passage DVD->.avi.</note> | gmencoder
13 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Gmencoder n'est plus mis à jour depuis 2003, il ne supporte donc aucun des meilleurs codecs de notre époque ... Mais fonctionne tout de même. Si vous n'êtes pas satisfait regardez plutôt du côté d'[[Avidemux]] pour le transcodage ou d'[[Handbrake]] pour le passage DVD->.avi.</note> | ... => suggestions : ['…']
13 Mot inconnu : Avidemux => <note>Gmencoder n'est plus mis à jour depuis 2003, il ne supporte donc aucun des meilleurs codecs de notre époque ... Mais fonctionne tout de même. Si vous n'êtes pas satisfait regardez plutôt du côté d'[[Avidemux]] pour le transcodage ou d'[[Handbrake]] pour le passage DVD->.avi.</note> | avidemux
13 Mot inconnu : Handbrake => <note>Gmencoder n'est plus mis à jour depuis 2003, il ne supporte donc aucun des meilleurs codecs de notre époque ... Mais fonctionne tout de même. Si vous n'êtes pas satisfait regardez plutôt du côté d'[[Avidemux]] pour le transcodage ou d'[[Handbrake]] pour le passage DVD->.avi.</note> | handbrake
13 Mot inconnu : avi => <note>Gmencoder n'est plus mis à jour depuis 2003, il ne supporte donc aucun des meilleurs codecs de notre époque ... Mais fonctionne tout de même. Si vous n'êtes pas satisfait regardez plutôt du côté d'[[Avidemux]] pour le transcodage ou d'[[Handbrake]] pour le passage DVD->.avi.</note> | avi

17 Mot inconnu : __ => __**Attention :**__ Cette application n'est pas traduite (elle est en anglais). | __
17 Mot inconnu : __ => __**Attention :**__ Cette application n'est pas traduite (elle est en anglais). | __

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

28 Mot inconnu : ceuX => <note important>Pour ceuX qui tenteraient sans succès d'utiliser gmencoder pour redimensionner un film (scale), il est normal que le logiciel installé depuis le paquet debian ne fonctionne pas ! | ceux
28 Mot inconnu : gmencoder => <note important>Pour ceuX qui tenteraient sans succès d'utiliser gmencoder pour redimensionner un film (scale), il est normal que le logiciel installé depuis le paquet debian ne fonctionne pas ! | gmencoder
28 Mot inconnu : scale => <note important>Pour ceuX qui tenteraient sans succès d'utiliser gmencoder pour redimensionner un film (scale), il est normal que le logiciel installé depuis le paquet debian ne fonctionne pas ! | scale
28 Mot inconnu : debian => <note important>Pour ceuX qui tenteraient sans succès d'utiliser gmencoder pour redimensionner un film (scale), il est normal que le logiciel installé depuis le paquet debian ne fonctionne pas ! | debian

29 Mot inconnu : gmencoder => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | gmencoder
29 Typographie : points de suspension. Utilisez le caractère dédié. => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | ... => suggestions : ['…']
29 Mot inconnu : README => En effet, il manque un fichier de configuration qui donne à gmencoder la liste des filtres à utiliser pour redimensionner (Le menu déroulant est vide...). On trouve dans le README de la version 0.1.0 une note indiquant qu'il faut fournir ce fichier de configuration soit dans /etc/gmencoder_opts soit dans $HOME/.gmencorer/gmencoder_opts Par ailleurs, un exemple de fichier est donné et se trouve dans le répertoire etc de l'archive suivante : [[http://tutuxclan.free.fr/debs/gmencoder_0.1.0.orig.tar.gz]] </note> | readme
