
5 Mot inconnu : UPS => ====== Installer et configurer un UPS APC avec Ubuntu ====== | ups
5 Mot inconnu : APC => ====== Installer et configurer un UPS APC avec Ubuntu ====== | apc

10 Mot inconnu : UPS => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ups
10 Mot inconnu : Uninterruptible => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | uninterruptible
10 Mot inconnu : Power => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | power
10 Mot inconnu : Supply => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | supply
10 Mot inconnu : UPS => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ups
10 Erreur de numérisation ? Virgules au lieu de points ? => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ,... => suggestions : ['….']
10 Typographie : points de suspension. Utilisez le caractère dédié. => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ... => suggestions : ['…']
10 Erreur de numérisation ? Virgules au lieu de points ? => La mise en place d'un UPS (Uninterruptible Power Supply) ne se limite pas uniquement à connecter l'alimentation des serveurs sur ce dernier. Il faut également suivre l'état de l'UPS (pour effectuer des tests, connaître l'état de la batterie,...). Si l'état est insatisfaisant (batterie presque vide, plus de courant secteur,...), il faut prendre des mesures. | ,... => suggestions : ['….']
