
6 Mot inconnu : AMD-ATI [[25:32]] => ====== Cartes graphiques AMD-ATI ====== <|> amd-ati

39 Mot inconnu : tappez [[68:74]] => Une fois le pilote téléchargé et installé, ouvrez votre terminal et tappez la commande suivante pour terminer l'installation : <|> tappez

41 Mot inconnu : __Si [[16:20]] => <note important>__Si vous ne lancez pas cette commande__ manuellement, **le pilote ne sera pas installé**. <|> __si
41 Mot inconnu : commande__ [[46:56]] => <note important>__Si vous ne lancez pas cette commande__ manuellement, **le pilote ne sera pas installé**. <|> commande__

42 Mot inconnu : __Appuyer [[0:9]] => __Appuyer sur le bouton "lancer"__ dans votre gestionnaire de paquet **n'a aucun effet**.</note> <|> __appuyer
42 Guillemets typographiques ouvrants. [[24:25]] => __Appuyer sur le bouton "lancer"__ dans votre gestionnaire de paquet **n'a aucun effet**.</note> <|> " => suggestions : ['«\xa0', '“']
42 Mot inconnu : __ [[32:34]] => __Appuyer sur le bouton "lancer"__ dans votre gestionnaire de paquet **n'a aucun effet**.</note> <|> __

55 Mot inconnu : acpi_call [[10:19]] => ==== Avec acpi_call ==== <|> acpi_call

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

91 Guillemets typographiques ouvrants. [[50:51]] => Il faut alors repérer la ligne qui se termine par "works!".  C'est cette ligne qui vous intéresse pour désactiver la carte à chaque démarrage. <|> " => suggestions : ['«\xa0', '“']
91 Mot inconnu : works [[51:56]] => Il faut alors repérer la ligne qui se termine par "works!".  C'est cette ligne qui vous intéresse pour désactiver la carte à chaque démarrage. <|> works
91 Guillemets typographiques fermants. [[57:58]] => Il faut alors repérer la ligne qui se termine par "works!".  C'est cette ligne qui vous intéresse pour désactiver la carte à chaque démarrage. <|> " => suggestions : ['\xa0»', '”']
91 Espace(s) surnuméraire(s) à supprimer. [[59:61]] => Il faut alors repérer la ligne qui se termine par "works!".  C'est cette ligne qui vous intéresse pour désactiver la carte à chaque démarrage. <|>    => suggestions : [' ']
99 Mot inconnu : acpi_call [[82:91]] =>   * <CHEMIN> est à remplacer par le chemin complet vers où se trouve le fichier **acpi_call/acpi_call.ko** <|> acpi_call
99 Mot inconnu : acpi_call [[92:101]] =>   * <CHEMIN> est à remplacer par le chemin complet vers où se trouve le fichier **acpi_call/acpi_call.ko** <|> acpi_call
99 Il manque un espace. [[102:104]] =>   * <CHEMIN> est à remplacer par le chemin complet vers où se trouve le fichier **acpi_call/acpi_call.ko** <|> ko => suggestions : [' ko']
100 Guillemets typographiques ouvrants. [[80:81]] =>   * //\_SB.PCI0.PEG0.PEGP._OFF// est à remplacer par la ligne où se trouvait le "works!". <|> " => suggestions : ['«\xa0', '“']
100 Mot inconnu : works [[81:86]] =>   * //\_SB.PCI0.PEG0.PEGP._OFF// est à remplacer par la ligne où se trouvait le "works!". <|> works
100 Guillemets typographiques fermants. [[87:88]] =>   * //\_SB.PCI0.PEG0.PEGP._OFF// est à remplacer par la ligne où se trouvait le "works!". <|> " => suggestions : ['\xa0»', '”']
109 Mot inconnu : Catalyst [[9:17]] => ==== ATI Catalyst ==== <|> catalyst
119 Mot inconnu : Catalyst [[13:21]] => === Dans ATI Catalyst === <|> catalyst

139 Il manque probablement un trait d’union. [[39:47]] => qui vous donnera quelque chose dans ce style là: <|> style là => suggestions : ['style-là']
