
4 Mot inconnu : Video => ====== Hyper Video Converter ====== <|> video
4 Mot inconnu : Converter => ====== Hyper Video Converter ====== <|> converter
17 Mot inconnu : ffmpeg =>   * Installer les paquets suivants : [[apt>ffmpeg,mplayer,ffmpeg2theora]] <|> ffmpeg
17 Il manque un espace. =>   * Installer les paquets suivants : [[apt>ffmpeg,mplayer,ffmpeg2theora]] <|> mplayer => suggestions : [' mplayer']
17 Mot inconnu : mplayer =>   * Installer les paquets suivants : [[apt>ffmpeg,mplayer,ffmpeg2theora]] <|> mplayer
17 Mot inconnu : ffmpeg2theora =>   * Installer les paquets suivants : [[apt>ffmpeg,mplayer,ffmpeg2theora]] <|> ffmpeg2theora

20 Mot inconnu : Hypervc => Hypervc n'est actuellement pas disponible dans les dépôts et la dernière version disponible sur le site officiel date de novembre 2008. <|> hypervc

22 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la base développée avec Qt, une version GTK2 est également disponible. <|> a => suggestions : ['À']
22 Mot inconnu : GTK2 => A la base développée avec Qt, une version GTK2 est également disponible. <|> gtk2
24 Espace(s) en fin de ligne à supprimer. =>   * Rendez-vous sur [[http://fr.sourceforge.jp/projects/sfnet_hypervideoconve/releases/|la page de téléchargement]] et téléchargez le fichier :  <|>   => suggestions : ['']

43 Mot inconnu : hyperconf => Pour avoir accès aux profils pré-configurés, il faut copier le fichier **.hyperconf** dans le dossier personnel : <|> hyperconf

46 Mot inconnu : deb => <note tip>Cette commande est à exécuter après s'être placé dans le répertoire où se trouve le paquet deb avec la commande ;  <|> deb
46 Espace(s) en fin de ligne à supprimer. => <note tip>Cette commande est à exécuter après s'être placé dans le répertoire où se trouve le paquet deb avec la commande ;  <|>   => suggestions : ['']
