
5 Mot inconnu : Loadaverage => ====== Loadaverage : La charge d'une machine sous Ubuntu... ====== | loadaverage
5 Typographie : points de suspension. Utilisez le caractère dédié. => ====== Loadaverage : La charge d'une machine sous Ubuntu... ====== | ... => suggestions : ['…']

7 Mot inconnu : FIXME => <note warning>FIXME Cette page n'a pas été vérifiée pour les dernières versions supportées d'ubuntu. Si vous pouvez valider ces informations ou les compléter, merci d'éditer cette page et de rajouter le tag de la version d'ubuntu sur laquelle cela fonctionne.</note> | fixme

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'usage du CPU |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mémoire vive disponible |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * espace disque disponible |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mémoire swap utilisée |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * et bien d'autres encore... |    => suggestions : ['']
16 Typographie : points de suspension. Utilisez le caractère dédié. =>   * et bien d'autres encore... | ... => suggestions : ['…']

18 Mot inconnu : __la => Personnellement, je pense que ces éléments de mesures sont difficiles à mettre en relation avec __la charge réelle__ de la machine. Explications... | __la
18 Mot inconnu : réelle__ => Personnellement, je pense que ces éléments de mesures sont difficiles à mettre en relation avec __la charge réelle__ de la machine. Explications... | réelle__
18 Typographie : points de suspension. Utilisez le caractère dédié. => Personnellement, je pense que ces éléments de mesures sont difficiles à mettre en relation avec __la charge réelle__ de la machine. Explications... | ... => suggestions : ['…']
