5 Mot inconnu : Averatec => ====== Liste des portables « Averatec » ====== <|> averatec

8 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> av2460-fy1
8 Mot inconnu : Alternate => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> alternate
8 Mot inconnu : sdhci => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> sdhci
8 Mot inconnu : blacklist => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> blacklist
8 Mot inconnu : yes => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> yes
8 Pas d’espace avant un point. => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|>  . => suggestions : ['.']
8 Mot inconnu : VGA => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> vga
8 Mot inconnu : SD => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> sd
8 Mot inconnu : Intrepid => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> intrepid

9 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> av2460-fy1
9 Mot inconnu : Alternate => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> alternate
9 Mot inconnu : sdhci => |AV2460-FY1 | oui | oui | Selon http://www.fitzenreiter.de/averatec/index-e.htm l'Alternate CD fonctionne bien, à condition de spécifier le paramètre **sdhci.blacklist=yes** . Le lecteur de cartes SD ne fonctionne pas. Le WIFI, l'éthernet, les touches multimédia et la sortie VGA fonctionnent sans souci. | Hardy | <|> sdhci
