
4 Mot inconnu : Jellyfin => ====== Jellyfin  ====== | jellyfin
4 Espace(s) surnuméraire(s) à supprimer. => ====== Jellyfin  ====== |    => suggestions : [' ']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

6 Mot inconnu : Jellyfin => Jellyfin est un serveur multimedia. Il s'agit d'un fork de //[[https://emby.media/|Emby]]// (anciennement //Media Browser//) devenu officiellement propriétaire en 2018. | jellyfin
6 Mot inconnu : multimedia => Jellyfin est un serveur multimedia. Il s'agit d'un fork de //[[https://emby.media/|Emby]]// (anciennement //Media Browser//) devenu officiellement propriétaire en 2018. | multimedia
6 Mot inconnu : Browser => Jellyfin est un serveur multimedia. Il s'agit d'un fork de //[[https://emby.media/|Emby]]// (anciennement //Media Browser//) devenu officiellement propriétaire en 2018. | browser
10 Espace(s) en fin de ligne à supprimer. => Il permet de récupérer automatiquement les informations concernant les films et les séries depuis [[https://www.imdb.com/|IMDb]] et [[https://www.themoviedb.org/|TheMovieDb]] : descriptions, affiches, réalisateurs, acteurs, etc.\\  |   => suggestions : ['']

11 Avant « etc. », il faut mettre une virgule. => Ceci permet de naviguer entre les différents réalisateurs, ou les différents genres, de trier par date, de voir tous les films avec un acteur particulier, sa photo et sa biographie etc. |  etc. => suggestions : [', etc.']

13 Mot inconnu : Jellyfin => De base avec Jellyfin cette médiathèque est donc accessible et visionnable avec n'importe quel navigateur web, mais il existe de plus de nombreux [[#clients]] qui permettent de simplifier son utilisation en fonction de l'appareil qu'on utilise. | jellyfin

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Mot inconnu : Jellyfin => ==== Depuis le Dépôt pour Ubuntu de Jellyfin ==== | jellyfin

22 Mot inconnu : Jellyfin => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. | jellyfin
22 Mot inconnu : Cosmic => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. | cosmic
22 Mot inconnu : amd64 => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. | amd64
22 Pas d’espace avant une virgule. => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. |  , => suggestions : [',']
22 Mot inconnu : arm64 => L'équipe de Jellyfin fournit un dépôt pour l'installation sur Ubuntu Xenial / Bionic / Cosmic / Disco. Les architectures prises en charge sont amd64 , arm64 et armhf. | arm64
