
4 Mot inconnu : linux => ====== Les commandes de base en console linux ====== | linux

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il est presque toujours possible de combiner les options (exemple : **ls -l -a** deviendra **ls -la**) |    => suggestions : ['']
8 Mot inconnu : ls =>   * Il est presque toujours possible de combiner les options (exemple : **ls -l -a** deviendra **ls -la**) | ls
8 Il manque un espace à côté du tiret. =>   * Il est presque toujours possible de combiner les options (exemple : **ls -l -a** deviendra **ls -la**) |  - => suggestions : [' – ', ' — ']
8 Mot inconnu : ls =>   * Il est presque toujours possible de combiner les options (exemple : **ls -l -a** deviendra **ls -la**) | ls
8 Il manque un espace à côté du tiret. =>   * Il est presque toujours possible de combiner les options (exemple : **ls -l -a** deviendra **ls -la**) |  - => suggestions : [' – ', ' — ']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les mots //répertoire// et //dossier// sont équivalents. |    => suggestions : ['']
16 Espace(s) surnuméraire(s) à supprimer. => Le titre est un peu compliqué, mais le principe est simple : un fichier peut être référencé de manière **relative**, par rapport au répertoire courant, ou de manière **absolue** par rapport à la racine.  Le premier caractère de la référence permet d'effectuer la distinction : les références absolues commencent toujours par le caractère **/**, alors que les références relatives commencent par tout autre caractère valide pour un nom de fichier.\\ |    => suggestions : [' ']

17 Mot inconnu : MonFichier => Ainsi, les deux commandes ci-dessous sont équivalentes et peuvent être utilisées l'une comme l'autre pour renommer le fichier MonFichier localisé dans le répertoire personnel de l'utilisateur (/home/user) : | monfichier

19 Mot inconnu : mv => user@mulet:~$ mv MonFichier NouveauNomDuFichier | mv
19 Mot inconnu : MonFichier => user@mulet:~$ mv MonFichier NouveauNomDuFichier | monfichier
19 Mot inconnu : NouveauNomDuFichier => user@mulet:~$ mv MonFichier NouveauNomDuFichier | nouveaunomdufichier

22 Mot inconnu : srv => user@mulet:/srv $ mv /home/user/MonFichier /home/user/NouveauNomDuFichier | srv
22 Mot inconnu : mv => user@mulet:/srv $ mv /home/user/MonFichier /home/user/NouveauNomDuFichier | mv
24 Mot inconnu : srv => Dans le premier exemple, l'invite système (user@mulet:~$) montre que le répertoire courant est le répertoire personnel de l'utilisateur ("~", caractère spécial équivalent /home/user) ; la référence au fichier à renommer est exprimée de manière relative par rapport à ce répertoire. Dans le second exemple, l'invite système montre que le répertoire courant est /srv ; pour désigner le même fichier, il faut donc utiliser une référence absolue : /home/user/MonFichier (qui aurait tout aussi bien pu être exprimée par ~/MonFichier). | srv
24 Mot inconnu : MonFichier => Dans le premier exemple, l'invite système (user@mulet:~$) montre que le répertoire courant est le répertoire personnel de l'utilisateur ("~", caractère spécial équivalent /home/user) ; la référence au fichier à renommer est exprimée de manière relative par rapport à ce répertoire. Dans le second exemple, l'invite système montre que le répertoire courant est /srv ; pour désigner le même fichier, il faut donc utiliser une référence absolue : /home/user/MonFichier (qui aurait tout aussi bien pu être exprimée par ~/MonFichier). | monfichier

26 Mot inconnu : srv => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' | srv
26 Mot inconnu : mv => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' | mv
26 Mot inconnu : NomDuFichier => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' | nomdufichier
26 Guillemets typographiques fermants. => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' | ' => suggestions : ['”', '’', '›']

31 Espace(s) surnuméraire(s) à supprimer. => Les caractères spéciaux **~**,  **.** et **..** correspondent respectivement au répertoire personnel de l'utilisateur, au répertoire courant et au répertoire parent. Ils permettent tous les trois de simplifier l'expression de références absolues. \\ |    => suggestions : [' ']
31 Typographie : un ou trois points ? => Les caractères spéciaux **~**,  **.** et **..** correspondent respectivement au répertoire personnel de l'utilisateur, au répertoire courant et au répertoire parent. Ils permettent tous les trois de simplifier l'expression de références absolues. \\ | .. => suggestions : ['…', '.']

32 Mot inconnu : UnRep => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : | unrep
32 Mot inconnu : MonFichier => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : | monfichier
