
5 Mot inconnu : Philips => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | philips
5 Mot inconnu : MCW770 => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | mcw770
5 Mot inconnu : TwonkyMediaServer => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | twonkymediaserver

9 Mot inconnu : Philips => Cette page a pour but d'expliquer la démarche globale permettant de faire fonctionner la mini chaîne Philips MCW770 avec un serveur Twonky, le tout sur une unité centrale aux performances limitées.  | philips
9 Mot inconnu : MCW770 => Cette page a pour but d'expliquer la démarche globale permettant de faire fonctionner la mini chaîne Philips MCW770 avec un serveur Twonky, le tout sur une unité centrale aux performances limitées.  | mcw770
9 Mot inconnu : Twonky => Cette page a pour but d'expliquer la démarche globale permettant de faire fonctionner la mini chaîne Philips MCW770 avec un serveur Twonky, le tout sur une unité centrale aux performances limitées.  | twonky
9 Espace(s) en fin de ligne à supprimer. => Cette page a pour but d'expliquer la démarche globale permettant de faire fonctionner la mini chaîne Philips MCW770 avec un serveur Twonky, le tout sur une unité centrale aux performances limitées.  |   => suggestions : ['']

14 Forme interrogative ? Mettez un trait d’union. => Munissez vous d'un PC sur lequel est installé Windows XP, vous en aurez besoin par la suite pour configurer la partie chaîne haute fidélité à l'aide des applications livrées sur le CD Philips. | munissez vous => suggestions : ['Munissez-vous']
14 Mot inconnu : XP => Munissez vous d'un PC sur lequel est installé Windows XP, vous en aurez besoin par la suite pour configurer la partie chaîne haute fidélité à l'aide des applications livrées sur le CD Philips. | xp
14 Mot inconnu : Philips => Munissez vous d'un PC sur lequel est installé Windows XP, vous en aurez besoin par la suite pour configurer la partie chaîne haute fidélité à l'aide des applications livrées sur le CD Philips. | philips

16 Mot inconnu : Philips => <note important>Les applications du CD Philips ne semblent pas fonctionner sous Vista/Seven, d'où l'importance du XP...</note> | philips
16 Mot inconnu : Vista => <note important>Les applications du CD Philips ne semblent pas fonctionner sous Vista/Seven, d'où l'importance du XP...</note> | vista
16 Mot inconnu : Seven => <note important>Les applications du CD Philips ne semblent pas fonctionner sous Vista/Seven, d'où l'importance du XP...</note> | seven
16 Mot inconnu : XP => <note important>Les applications du CD Philips ne semblent pas fonctionner sous Vista/Seven, d'où l'importance du XP...</note> | xp
16 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Les applications du CD Philips ne semblent pas fonctionner sous Vista/Seven, d'où l'importance du XP...</note> | ... => suggestions : ['…']

18 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Si vous désirez installer cette configuration sur votre PC de bureau déjà équipé d'une Debian/Ubuntu, passez directement à la 3e partie. | 3e => suggestions : ['3ᵉ']

28 Confusion probable. Une tâche est un travail à accomplir. Pour une salissure, une altération, une marque, une coloration… employez “tache”. => Partant du principe que vous allez dédier une vieille unité centrale à la tâche de gestionnaire de média, il vous faut télécharger une distribution à installer. | tâche => suggestions : ['tache']

53 Mot inconnu : Zydas => Le bouchon wifi fourni avec la mini chaîne est un Zydas ZD1201. | zydas
53 Mot inconnu : ZD1201 => Le bouchon wifi fourni avec la mini chaîne est un Zydas ZD1201. | zd1201

54 Mot inconnu : ZD1201 => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | zd1201
54 Mot inconnu : WPA => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | wpa
54 Mot inconnu : WPA2 => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | wpa2
54 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | ... => suggestions : ['…']
54 Mot inconnu : WEP => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | wep

75 Mot inconnu : RJ45 => Si votre machine a une carte Ethernet reconnue, branchez le câble RJ45 et activez l'interface : | rj45

92 Mot inconnu : ssh => ==== Mise en place d'un serveur ssh ==== | ssh

120 Mot inconnu : autoconnexion => ==== Paramétrage d'une autoconnexion ==== | autoconnexion

140 Mot inconnu : Philips => Pour cette partie, vous allez devoir vous munir du CD Philips fourni avec la chaîne haute fidélité. Insérez-le dans un PC muni de Windows XP. | philips
140 Mot inconnu : XP => Pour cette partie, vous allez devoir vous munir du CD Philips fourni avec la chaîne haute fidélité. Insérez-le dans un PC muni de Windows XP. | xp
148 Mot inconnu : PCLINK => Cochez en bas la case « Ne pas effectuer la configuration automatique ». Il vous demande d'appuyer pendant cinq secondes sur le bouton PCLINK de la chaîne...Faites-le. | pclink
148 Typographie : points de suspension. Utilisez le caractère dédié. => Cochez en bas la case « Ne pas effectuer la configuration automatique ». Il vous demande d'appuyer pendant cinq secondes sur le bouton PCLINK de la chaîne...Faites-le. | ... => suggestions : ['…']
158 Mot inconnu : ESSID => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | essid
158 Mot inconnu : MCW770 => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | mcw770
