1 Mot inconnu : Wilo98 [[7:13]] => ====== Wilo98 ====== <|> wilo98

5 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[50:60]] => Je suis passé au logiciel libre en 2005, quand je commençait à en avoir mal de nettoyer mon Windows à chaque installation/utilisation de logiciels (obtenus illégalement pour certains, je l'avoue ;)). Depuis, je utilise tant que possible des solutions libres, mais les vieilles habitudes ont la vie dure (jpeg et autre mp3). Maintenant, dans ma vie personnelle, j'utilise linux pour 99% de mes tâches informatiques. Les 1% qui reste, c'est pour la mise à jour de périphériques inexploitable sur linux, comme la leapfrog du petit ou mon avertisseur de radar. Pour le reste, linux répond largement à mes besoins, et ceux de ma famille. <|> commençait => suggestions : ['commençais']
5 Mot inconnu : jpeg [[304:308]] => Je suis passé au logiciel libre en 2005, quand je commençait à en avoir mal de nettoyer mon Windows à chaque installation/utilisation de logiciels (obtenus illégalement pour certains, je l'avoue ;)). Depuis, je utilise tant que possible des solutions libres, mais les vieilles habitudes ont la vie dure (jpeg et autre mp3). Maintenant, dans ma vie personnelle, j'utilise linux pour 99% de mes tâches informatiques. Les 1% qui reste, c'est pour la mise à jour de périphériques inexploitable sur linux, comme la leapfrog du petit ou mon avertisseur de radar. Pour le reste, linux répond largement à mes besoins, et ceux de ma famille. <|> jpeg
5 Accord de nombre erroné avec « inexploitable ». [[462:475]] => Je suis passé au logiciel libre en 2005, quand je commençait à en avoir mal de nettoyer mon Windows à chaque installation/utilisation de logiciels (obtenus illégalement pour certains, je l'avoue ;)). Depuis, je utilise tant que possible des solutions libres, mais les vieilles habitudes ont la vie dure (jpeg et autre mp3). Maintenant, dans ma vie personnelle, j'utilise linux pour 99% de mes tâches informatiques. Les 1% qui reste, c'est pour la mise à jour de périphériques inexploitable sur linux, comme la leapfrog du petit ou mon avertisseur de radar. Pour le reste, linux répond largement à mes besoins, et ceux de ma famille. <|> périphériques => suggestions : ['périphérique']
5 Accord de nombre erroné avec « périphériques ». [[476:489]] => Je suis passé au logiciel libre en 2005, quand je commençait à en avoir mal de nettoyer mon Windows à chaque installation/utilisation de logiciels (obtenus illégalement pour certains, je l'avoue ;)). Depuis, je utilise tant que possible des solutions libres, mais les vieilles habitudes ont la vie dure (jpeg et autre mp3). Maintenant, dans ma vie personnelle, j'utilise linux pour 99% de mes tâches informatiques. Les 1% qui reste, c'est pour la mise à jour de périphériques inexploitable sur linux, comme la leapfrog du petit ou mon avertisseur de radar. Pour le reste, linux répond largement à mes besoins, et ceux de ma famille. <|> inexploitable => suggestions : ['inexploitables']
5 Mot inconnu : leapfrog [[510:518]] => Je suis passé au logiciel libre en 2005, quand je commençait à en avoir mal de nettoyer mon Windows à chaque installation/utilisation de logiciels (obtenus illégalement pour certains, je l'avoue ;)). Depuis, je utilise tant que possible des solutions libres, mais les vieilles habitudes ont la vie dure (jpeg et autre mp3). Maintenant, dans ma vie personnelle, j'utilise linux pour 99% de mes tâches informatiques. Les 1% qui reste, c'est pour la mise à jour de périphériques inexploitable sur linux, comme la leapfrog du petit ou mon avertisseur de radar. Pour le reste, linux répond largement à mes besoins, et ceux de ma famille. <|> leapfrog

7 Accord de nombre erroné : « config » devrait être au pluriel. [[10:16]] => ===== Mes config ===== <|> config => suggestions : ['configs']

9 Mot inconnu : eeeBox [[0:6]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> eeebox
9 Mot inconnu : Atom [[13:17]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> atom
9 Mot inconnu : N270 [[18:22]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> n270
9 Mot inconnu : Ghz [[24:27]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> ghz
9 Mot inconnu : The [[60:63]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> the
9 Mot inconnu : Lucid [[64:69]] => eeeBox Intel Atom N270 1Ghz, 1Go de RAM, 160Go Ubuntu 10.04 The Lucid Lynx. <|> lucid

11 Mot inconnu : Athlon64 [[4:12]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> athlon64
11 Signe de multiplication typographique. [[10:15]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> 64 x2 => suggestions : ['64\xa0×\xa02']
11 Mot inconnu : x2 [[13:15]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> x2
11 Mot inconnu : xUbuntu [[40:47]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> xubuntu
11 Mot inconnu : The [[62:65]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> the
11 Mot inconnu : Precise [[66:73]] => AMD Athlon64 x2 4600, 1Go de RAM, 160Go xUbuntu 12.04 64 bits The Precise Pangolin <|> precise

13 Mot inconnu : eeePc [[0:5]] => eeePc 501 Atom 512Mo de RAM, 4Go [[http://www.slitaz.org/fr/|SLITaz]] 4.0. SLITaz est un distribution ultra légère (150Mo utilisé une fois installée) qui offre un bureau complet graphique, très pratique pour les net bool et autre ordinosaures.  <|> eeepc
13 Mot inconnu : Atom [[10:14]] => eeePc 501 Atom 512Mo de RAM, 4Go [[http://www.slitaz.org/fr/|SLITaz]] 4.0. SLITaz est un distribution ultra légère (150Mo utilisé une fois installée) qui offre un bureau complet graphique, très pratique pour les net bool et autre ordinosaures.  <|> atom
13 Accord de genre erroné : « distribution » est féminin. [[86:88]] => eeePc 501 Atom 512Mo de RAM, 4Go [[http://www.slitaz.org/fr/|SLITaz]] 4.0. SLITaz est un distribution ultra légère (150Mo utilisé une fois installée) qui offre un bureau complet graphique, très pratique pour les net bool et autre ordinosaures.  <|> un => suggestions : ['une']
13 Accord de nombre erroné avec « 150 Mo » : « utilisé » devrait être au pluriel. [[122:129]] => eeePc 501 Atom 512Mo de RAM, 4Go [[http://www.slitaz.org/fr/|SLITaz]] 4.0. SLITaz est un distribution ultra légère (150Mo utilisé une fois installée) qui offre un bureau complet graphique, très pratique pour les net bool et autre ordinosaures.  <|> utilisé => suggestions : ['utilisés']
13 Accord de nombre erroné : « net » devrait être au pluriel. [[212:215]] => eeePc 501 Atom 512Mo de RAM, 4Go [[http://www.slitaz.org/fr/|SLITaz]] 4.0. SLITaz est un distribution ultra légère (150Mo utilisé une fois installée) qui offre un bureau complet graphique, très pratique pour les net bool et autre ordinosaures.  <|> net => suggestions : ['nets']
