1 Mot inconnu : RedLemon => ====== RedLemon ====== <|> redlemon

3 Accentuez les majuscules. => Je possède un Bac technique en électronique et informatique [[http://www.ut.be/]] et un Bac pro en Electricité Bâtiment et Electromécanique [[http://www.ut.be/]] <|> electricité => suggestions : ['Électricité']
3 Mot inconnu : Electricité => Je possède un Bac technique en électronique et informatique [[http://www.ut.be/]] et un Bac pro en Electricité Bâtiment et Electromécanique [[http://www.ut.be/]] <|> electricité
3 Mot inconnu : Electromécanique => Je possède un Bac technique en électronique et informatique [[http://www.ut.be/]] et un Bac pro en Electricité Bâtiment et Electromécanique [[http://www.ut.be/]] <|> electromécanique

6 Mot inconnu : Breezy => Ubuntu Breezy a été la première version d'Ubuntu installée sur ma machine personnelle. <|> breezy
8 Mot inconnu : boot => J'ai commencé à utiliser un ordinateur à l'âge de 14 ans, et être en dual boot windows/linux depuis 7 ans. Cela fait maintenant deux ans que windows a totalement disparu de mes ordinateurs. <|> boot
8 Mot inconnu : linux => J'ai commencé à utiliser un ordinateur à l'âge de 14 ans, et être en dual boot windows/linux depuis 7 ans. Cela fait maintenant deux ans que windows a totalement disparu de mes ordinateurs. <|> linux

10 Mot inconnu : redhat => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> redhat
10 Mot inconnu : mandrake => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> mandrake
10 Mot inconnu : gentoo => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> gentoo
10 Mot inconnu : coeur => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> coeur
10 Mot inconnu : The => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> the
10 Mot inconnu : Breezy => J'ai essayé d'autres distributions dans le passé Fedora, redhat, mandrake et gentoo. Puis un ami m'a montré Ubuntu, et là ce fut le coup de coeur. Depuis The Breezy Badger je suis intégralement sous Ubuntu.  <|> breezy
14 Mot inconnu : intel =>   * Un intel CoreQuad 2,5Ghz avec 8 giga de mémoire, carte graphique Nvidia gts 250 et carte mére Asus P5Q Ubuntu 10.04 (configuration de 1 disques dur de 1T plus 1 disque 150gigas pour windows seven, montage video oblige) <|> intel
