1 Mot inconnu : Babyubuntu => ====== Babyubuntu ====== <|> babyubuntu

3 Mot inconnu : Williamson => | Prénom | Williamson | <|> williamson

5 Espace(s) surnuméraire(s) à supprimer. => | Âge | 1/4  | <|>    => suggestions : [' ']

6 Mot inconnu : Ubunteros => | Ubunteros depuis | 2008 | <|> ubunteros

11 Accord de genre erroné : « vielle » est féminin. => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> mon => suggestions : ['Ma']
11 Accord de genre erroné : « Mon » est un déterminant masculin. => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> vielle => suggestions : []
11 Accord erroné : “vielle” et “venu” ne sont pas accordés. Mettez au féminin singulier. => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> venu => suggestions : ['venue']
11 Accord de genre erroné : « cd » est féminin. => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> un => suggestions : ['une']
11 Mot inconnu : KAELLA => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> kaella
11 Mot inconnu : knoopix => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> knoopix
11 Mot inconnu : croyé => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> croyé
11 Mot inconnu : windo => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> windo
11 Mot inconnu : Aurox => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> aurox
11 Mot inconnu : Knoppix => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> knoppix
11 Mot inconnu : Suse => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> suse
