1 Mot inconnu : sr40150 [[7:14]] => ====== sr40150 ====== <|> sr40150

3 Mot inconnu : sr40150 [[9:16]] => |Surnom:|sr40150 | <|> sr40150

12 Incohérence probable avec “avoir” : “réinstaller” n’est pas un participe passé. [[12:23]] => Après avoir réinstaller windows à très très nombreuses reprises grrr. J'en ai eu assez et suis passé à ubuntu après avoir testé plusieurs fois mandriva qui n'était pas tout a fait à mon goût "KDE". Je suis passé à ubuntu avec le bureau gnome agrémenté de beryl qui est connu maintenant sous le nom de compiz. <|> réinstaller => suggestions : None
12 Confusion : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. [[173:174]] => Après avoir réinstaller windows à très très nombreuses reprises grrr. J'en ai eu assez et suis passé à ubuntu après avoir testé plusieurs fois mandriva qui n'était pas tout a fait à mon goût "KDE". Je suis passé à ubuntu avec le bureau gnome agrémenté de beryl qui est connu maintenant sous le nom de compiz. <|> a => suggestions : None
12 Guillemets typographiques ouvrants. [[191:192]] => Après avoir réinstaller windows à très très nombreuses reprises grrr. J'en ai eu assez et suis passé à ubuntu après avoir testé plusieurs fois mandriva qui n'était pas tout a fait à mon goût "KDE". Je suis passé à ubuntu avec le bureau gnome agrémenté de beryl qui est connu maintenant sous le nom de compiz. <|> " => suggestions : None
12 Guillemets typographiques fermants. [[195:196]] => Après avoir réinstaller windows à très très nombreuses reprises grrr. J'en ai eu assez et suis passé à ubuntu après avoir testé plusieurs fois mandriva qui n'était pas tout a fait à mon goût "KDE". Je suis passé à ubuntu avec le bureau gnome agrémenté de beryl qui est connu maintenant sous le nom de compiz. <|> " => suggestions : None
12 Mot inconnu : beryl [[255:260]] => Après avoir réinstaller windows à très très nombreuses reprises grrr. J'en ai eu assez et suis passé à ubuntu après avoir testé plusieurs fois mandriva qui n'était pas tout a fait à mon goût "KDE". Je suis passé à ubuntu avec le bureau gnome agrémenté de beryl qui est connu maintenant sous le nom de compiz. <|> beryl
16 Mot inconnu : microsoft [[91:100]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|> microsoft
16 Mot inconnu : toujour [[120:127]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|> toujour
16 Mot inconnu : VM [[158:160]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|> vm
16 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[160:165]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|>  mais => suggestions : None
16 Pas d’espace avant un point. [[229:231]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|>  . => suggestions : None
16 Mot inconnu : eepc [[236:240]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|> eepc
16 Mot inconnu : longtemp [[291:299]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|> longtemp
16 Espace(s) en fin de ligne à supprimer. [[354:355]] => Au début c'était la configuration en dual boot, mais au bout de six mois j'ai dis adieux à microsoft en dual boot. J'ai toujour un windows qui traine sur une VM mais je le démarre très rarement juste pour tester certain logiciels . Mon eepc lui est resté en dual boot, mais windows met trop longtemp à se charger du coup je ne l'utilise quasiment jamais.  <|>   => suggestions : None
18 Typographie : points de suspension. Utilisez le caractère dédié. [[243:246]] => Ubuntu étant simple à prendre en main, il était parfait pour commencer avec GNU/linux. Après une courte période d'apprentissage (j'apprends très très vite et maintenant je suis un grand fan de la ligne de commande :-). surtout dans mes scripts... <|> ... => suggestions : None
20 Espace(s) surnuméraire(s) à supprimer. [[81:83]] => Et quand je ne sais pas je demande gentiment et poliment sur le forum ou sur IRC.  Il y a toujours quelqu'un pour fournir un lien vers une doc ou un tutoriel.   <|>    => suggestions : None
20 Espace(s) en fin de ligne à supprimer. [[158:160]] => Et quand je ne sais pas je demande gentiment et poliment sur le forum ou sur IRC.  Il y a toujours quelqu'un pour fournir un lien vers une doc ou un tutoriel.   <|>    => suggestions : None
25 Espace(s) en fin de ligne à supprimer. [[81:83]] => J'utilise principalement ubuntu ou debian et test parfois d'autres distributions.   <|>    => suggestions : None

28 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:2]] => j'ai appris le bash et maintenant j'arrive à faire des scripts qui me facilite la grandement la vie. J'en ai mit sur mon blog.  <|> j' => suggestions : None
28 Conjugaison erronée. Accord avec “des scripts qui…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[70:78]] => j'ai appris le bash et maintenant j'arrive à faire des scripts qui me facilite la grandement la vie. J'en ai mit sur mon blog.  <|> facilite => suggestions : None
28 Ce verbe devrait être un participe passé au masculin singulier. [[109:112]] => j'ai appris le bash et maintenant j'arrive à faire des scripts qui me facilite la grandement la vie. J'en ai mit sur mon blog.  <|> mit => suggestions : None
28 Espace(s) en fin de ligne à supprimer. [[126:127]] => j'ai appris le bash et maintenant j'arrive à faire des scripts qui me facilite la grandement la vie. J'en ai mit sur mon blog.  <|>   => suggestions : None
30 Mot inconnu : xhtml [[32:37]] => Je me débrouille donc avec Bash xhtml, css, php, mysql,  <|> xhtml
30 Mot inconnu : css [[39:42]] => Je me débrouille donc avec Bash xhtml, css, php, mysql,  <|> css
30 Espace(s) en fin de ligne à supprimer. [[55:56]] => Je me débrouille donc avec Bash xhtml, css, php, mysql,  <|>   => suggestions : None

32 Accord de nombre erroné : « test » devrait être au pluriel. [[107:111]] => Je me tâte pour me lancer en python, en C et C++. Mais il faut du temps pour absorber tout ça et faire des test de codes. <|> test => suggestions : None

41 Mot inconnu : assaultcube [[33:44]] => Trouver des pépites pour ma doc, assaultcube, tir à l'arc (irl). <|> assaultcube
41 Mot inconnu : irl [[59:62]] => Trouver des pépites pour ma doc, assaultcube, tir à l'arc (irl). <|> irl
