1 Mot inconnu : Maniack => ====== Maniack Crudelis ====== | maniack
1 Mot inconnu : Crudelis => ====== Maniack Crudelis ====== | crudelis

6 Confusion probable. Pour la préposition, écrivez “dès”. => Depuis janvier 2009, c'est devenu mon unique OS, j'ai supprimé dés lors windows XP, qui occupait une autre partition. | dés => suggestions : ['dès']
6 Mot inconnu : XP => Depuis janvier 2009, c'est devenu mon unique OS, j'ai supprimé dés lors windows XP, qui occupait une autre partition. | xp
7 Mot inconnu : XP => Je garde tout de même une virtualisation de windows XP, uniquement pour effectuer des compilations. | xp

12 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai finalement récupéré une vieille machine, et décidé d'y installer un serveur ftp. Sur les conseils d'un ami, j'installais Debian, qui n'est pas l'idéal pour débuter... Finalement j'installais kubuntu desktop 8.04 en tant que serveur ftp, car il me donnais l'occasion de découvrir GNU/Linux de manière plus ludique. | ... => suggestions : ['…']
12 Mot inconnu : desktop => J'ai finalement récupéré une vieille machine, et décidé d'y installer un serveur ftp. Sur les conseils d'un ami, j'installais Debian, qui n'est pas l'idéal pour débuter... Finalement j'installais kubuntu desktop 8.04 en tant que serveur ftp, car il me donnais l'occasion de découvrir GNU/Linux de manière plus ludique. | desktop
12 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => J'ai finalement récupéré une vieille machine, et décidé d'y installer un serveur ftp. Sur les conseils d'un ami, j'installais Debian, qui n'est pas l'idéal pour débuter... Finalement j'installais kubuntu desktop 8.04 en tant que serveur ftp, car il me donnais l'occasion de découvrir GNU/Linux de manière plus ludique. | donnais => suggestions : ['donnait']

13 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A présent mon serveur, toujours debout (merci ubuntu), est en migration sur ubuntu server et va servir de serveur ftp, http et mail, sur les conseils avisé d'un certain Benjamin Bayart ;-). | a => suggestions : ['À']
13 Mot inconnu : server => A présent mon serveur, toujours debout (merci ubuntu), est en migration sur ubuntu server et va servir de serveur ftp, http et mail, sur les conseils avisé d'un certain Benjamin Bayart ;-). | server
13 Accord de nombre erroné avec « les conseils » : « avisé » devrait être au pluriel. => A présent mon serveur, toujours debout (merci ubuntu), est en migration sur ubuntu server et va servir de serveur ftp, http et mail, sur les conseils avisé d'un certain Benjamin Bayart ;-). | avisé => suggestions : ['avisés']

18 Mot inconnu : Servus => Et je travaille sur un projet complet d'aide aux maîtres de jeux pour le jeu de rôle, nommé Servus Domini. L'ensemble du programme est développé en C sous licence GPL. | servus
18 Mot inconnu : Domini => Et je travaille sur un projet complet d'aide aux maîtres de jeux pour le jeu de rôle, nommé Servus Domini. L'ensemble du programme est développé en C sous licence GPL. | domini
