1 Mot inconnu : Bonjourà => Bonjourà tous ! <|> bonjourà

3 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => je me suis mis très récemment à Ubuntu (version Dapper Drake) et j'en suis ravi. Je m'en sers pour le travail et je pense qu'à la maison ça ne va pas tarder ... au grand dam de ma moitié qui commence à bien se débrouiller sous Windows. <|> je => suggestions : ['Je']
3 Mot inconnu : Dapper => je me suis mis très récemment à Ubuntu (version Dapper Drake) et j'en suis ravi. Je m'en sers pour le travail et je pense qu'à la maison ça ne va pas tarder ... au grand dam de ma moitié qui commence à bien se débrouiller sous Windows. <|> dapper
3 Typographie : points de suspension. Utilisez le caractère dédié. => je me suis mis très récemment à Ubuntu (version Dapper Drake) et j'en suis ravi. Je m'en sers pour le travail et je pense qu'à la maison ça ne va pas tarder ... au grand dam de ma moitié qui commence à bien se débrouiller sous Windows. <|> ... => suggestions : ['…']

5 Mot inconnu : VMWare => Je recherchais une distribution qui soit légère et simple à installer pour rajouter une couche VMWare et mettre mes serveurs Windows 2003 dessus. Aussitôt dit, aussitôt fait avec ubuntu et 2 tutoriaux (en anglais mais tellement simple que c'était très compréhensible). J'ai l'impression qu'il y a beaucoup de monde qui utilise cette distribution et qui la pratique au quotidien, ce qui fait que les documentations ne manquent pas, quelle que soit l'installation, le paramètrage et la customisation à faire. <|> vmware
5 Mot inconnu : tutoriaux => Je recherchais une distribution qui soit légère et simple à installer pour rajouter une couche VMWare et mettre mes serveurs Windows 2003 dessus. Aussitôt dit, aussitôt fait avec ubuntu et 2 tutoriaux (en anglais mais tellement simple que c'était très compréhensible). J'ai l'impression qu'il y a beaucoup de monde qui utilise cette distribution et qui la pratique au quotidien, ce qui fait que les documentations ne manquent pas, quelle que soit l'installation, le paramètrage et la customisation à faire. <|> tutoriaux
5 Mot inconnu : paramètrage => Je recherchais une distribution qui soit légère et simple à installer pour rajouter une couche VMWare et mettre mes serveurs Windows 2003 dessus. Aussitôt dit, aussitôt fait avec ubuntu et 2 tutoriaux (en anglais mais tellement simple que c'était très compréhensible). J'ai l'impression qu'il y a beaucoup de monde qui utilise cette distribution et qui la pratique au quotidien, ce qui fait que les documentations ne manquent pas, quelle que soit l'installation, le paramètrage et la customisation à faire. <|> paramètrage

6 Mot inconnu : Citrix => J'ai même pu installer un client Citrix ce qui va me permettre de me passer de mon Windows XP aussi :) <|> citrix
6 Mot inconnu : XP => J'ai même pu installer un client Citrix ce qui va me permettre de me passer de mon Windows XP aussi :) <|> xp

8 Confusion. On écrit « faire partie ». => Très content de faire parti des ubuntu-utilisateurs. <|> parti => suggestions : ['partie']
8 Mot inconnu : ubuntu-utilisateurs => Très content de faire parti des ubuntu-utilisateurs. <|> ubuntu-utilisateurs
