1 Mot inconnu : Pokexpert => ====== Pokexpert ====== <|> pokexpert
2 Mot inconnu : plutot => Utilisateur d'ubuntu depuis la 10.10, gamer, je suis plutot sous windows (8 consumer edition) <|> plutot
2 Mot inconnu : edition => Utilisateur d'ubuntu depuis la 10.10, gamer, je suis plutot sous windows (8 consumer edition) <|> edition

4 Mot inconnu : Materiel => ===== Materiel ===== <|> materiel
5 Mot inconnu : Msi =>   * Msi Gt-740 Dual boot Windows 8/ Kubuntu 11.10 <|> msi
5 Mot inconnu : boot =>   * Msi Gt-740 Dual boot Windows 8/ Kubuntu 11.10 <|> boot
6 Mot inconnu : Eeepc =>   * Eeepc 701 Bodhi linux 1.2 <|> eeepc
6 Accord de nombre erroné avec « 701 » : « Bodhi » devrait être au pluriel. =>   * Eeepc 701 Bodhi linux 1.2 <|> bodhi => suggestions : ['Bodhis']
6 Mot inconnu : linux =>   * Eeepc 701 Bodhi linux 1.2 <|> linux
7 Mot inconnu : Teos =>   * Samsung Teos Android 2.3.7 Cyanogenmod7 <|> teos
7 Mot inconnu : Cyanogenmod7 =>   * Samsung Teos Android 2.3.7 Cyanogenmod7 <|> cyanogenmod7
8 Mot inconnu : Witstech =>   * Witstech a 91 Android 2.3.3 <|> witstech
